"GO.ID","Term","Annotated","Significant","Expected","Rank in result2","result1","result2","result3","GenesInTermAndTest","GenesInTermAndTest_eggNogName"
"GO:0030414","peptidase inhibitor activity",19,3,0.16,83,"0.00054","1.00000","0.11152","A0A026WI68;A0A026WJG2;A0A026WPM3",";SRPN3;TFPI"
"GO:0004867","serine-type endopeptidase inhibitor acti...",5,2,0.04,84,"0.00073","1.00000","0.00073","A0A026WI68;A0A026WPM3",";SRPN3"
"GO:0061783","peptidoglycan muralytic activity",5,2,0.04,7,"0.00073","0.00073","0.00073","A0A026W1A5;A0A026W2Z6",";"
"GO:0061135","endopeptidase regulator activity",22,3,0.19,85,"0.00085","1.00000","0.13377","A0A026WI68;A0A026WJG2;A0A026WPM3",";SRPN3;TFPI"
"GO:0003993","acid phosphatase activity",7,2,0.06,8,"0.00151","0.00151","0.00151","A0A026WGA6;A0A026WSH9",";"
"GO:0008237","metallopeptidase activity",62,4,0.54,9,"0.00196","0.00196","0.00196","A0A026W0P7;A0A026W1C7;A0A026WH69;A0A026X3N5",";Nep2;;"
"GO:0061134","peptidase regulator activity",30,3,0.26,86,"0.00213","1.00000","0.19047","A0A026WI68;A0A026WJG2;A0A026WPM3",";SRPN3;TFPI"
"GO:0030246","carbohydrate binding",33,3,0.29,17,"0.00281","0.02509","0.00281","A0A026W798;A0A026WID6;A0A026WMB6","GNBP3;Fuca;"
"GO:0001530","lipopolysaccharide binding",10,2,0.09,10,"0.00317","0.00317","0.00317","A0A026W6F8;A0A026W798","GNBP3;"
"GO:0004180","carboxypeptidase activity",10,2,0.09,87,"0.00317","1.00000","0.00317","A0A026VTG8;A0A026WH69",";"
"GO:0008198","ferrous iron binding",13,2,0.11,11,"0.00541","0.00541","0.00541","A0A026VVE4;A0A026VVU9","Fer1HCH;Fer2LCH"
"GO:0042834","peptidoglycan binding",14,2,0.12,12,"0.00628","0.00628","0.00628","A0A026W2Z6;A0A026W6F8",";"
"GO:0005539","glycosaminoglycan binding",44,3,0.38,88,"0.00637","1.00000","0.22425","A0A026W2Z6;A0A026W4U7;A0A026W6F8",";;Pvf1"
"GO:0016810","hydrolase activity, acting on carbon-nit...",86,4,0.74,13,"0.00639","0.00639","0.28467","A0A026W2Z6;A0A026WPJ5;A0A026WT37;A0A026WU73",";;;verm"
"GO:0005201","extracellular matrix structural constitu...",15,2,0.13,14,"0.00720","0.00720","0.00720","A0A026WF43;A0A026X0F2",";"
"GO:0005214","structural constituent of chitin-based c...",46,3,0.4,15,"0.00721","0.00721","0.00721","A0A026VWV8;A0A026W1A3;A0A026WT17",";;"
"GO:0016811","hydrolase activity, acting on carbon-nit...",46,3,0.4,89,"0.00721","1.00000","0.00721","A0A026W2Z6;A0A026WT37;A0A026WU73",";;verm"
"GO:0042302","structural constituent of cuticle",46,3,0.4,90,"0.00721","1.00000","1.00000","A0A026VWV8;A0A026W1A3;A0A026WT17",";;"
"GO:0008235","metalloexopeptidase activity",18,2,0.16,91,"0.01032","1.00000","0.01032","A0A026W0P7;A0A026WH69",";"
"GO:0015923","mannosidase activity",18,2,0.16,92,"0.01032","1.00000","0.01032","A0A026VXZ2;A0A026WIQ8",";"
"GO:0070851","growth factor receptor binding",19,2,0.16,16,"0.01147","0.01147","0.01147","A0A026W4U7;A0A026W5E2",";Pvf1"
"GO:0004857","enzyme inhibitor activity",57,3,0.49,93,"0.01299","1.00000","0.35613","A0A026WI68;A0A026WJG2;A0A026WPM3",";SRPN3;TFPI"
"GO:0005506","iron ion binding",27,2,0.23,94,"0.02253","1.00000","1.00000","A0A026VVE4;A0A026VVU9","Fer1HCH;Fer2LCH"
"GO:0004555","alpha,alpha-trehalase activity",3,1,0.03,18,"0.02574","0.02574","0.02574","A0A026X326","TREH"
"GO:0004557","alpha-galactosidase activity",3,1,0.03,19,"0.02574","0.02574","0.02574","A0A026WYH3",""
"GO:0004560","alpha-L-fucosidase activity",3,1,0.03,20,"0.02574","0.02574","0.02574","A0A026WMB6","Fuca"
"GO:0004784","superoxide dismutase activity",3,1,0.03,21,"0.02574","0.02574","0.02574","A0A026WG66","Sod"
"GO:0008745","N-acetylmuramoyl-L-alanine amidase activ...",3,1,0.03,95,"0.02574","1.00000","0.02574","A0A026W2Z6",""
"GO:0015925","galactosidase activity",3,1,0.03,96,"0.02574","1.00000","0.02574","A0A026WYH3",""
"GO:0015927","trehalase activity",3,1,0.03,97,"0.02574","1.00000","0.02574","A0A026X326","TREH"
"GO:0015928","fucosidase activity",3,1,0.03,98,"0.02574","1.00000","0.02574","A0A026WMB6","Fuca"
"GO:0016721","oxidoreductase activity, acting on super...",3,1,0.03,99,"0.02574","1.00000","0.02574","A0A026WG66","Sod"
"GO:0047134","protein-disulfide reductase activity",3,1,0.03,22,"0.02574","0.02574","0.02574","A0A026W073","TrxT"
"GO:0001872","(1->3)-beta-D-glucan binding",4,1,0.03,23,"0.03417","0.03417","0.03417","A0A026W798","GNBP3"
"GO:0004854","xanthine dehydrogenase activity",4,1,0.03,24,"0.03417","0.03417","0.03417","A0A026WM97",""
"GO:0016618","hydroxypyruvate reductase activity",4,1,0.03,25,"0.03417","0.03417","0.03417","A0A026WDB2",""
"GO:0016726","oxidoreductase activity, acting on CH or...",4,1,0.03,100,"0.03417","1.00000","0.03417","A0A026WM97",""
"GO:0030267","glyoxylate reductase (NADP) activity",4,1,0.03,26,"0.03417","0.03417","0.03417","A0A026WDB2",""
"GO:0004222","metalloendopeptidase activity",34,2,0.29,101,"0.03464","1.00000","0.03464","A0A026W1C7;A0A026X3N5","Nep2;"
"GO:0016209","antioxidant activity",37,2,0.32,102,"0.04045","1.00000","0.04045","A0A026W073;A0A026WG66","TrxT;Sod"
"GO:0004791","thioredoxin-disulfide reductase activity",5,1,0.04,27,"0.04253","0.04253","0.04253","A0A026W073","TrxT"
"GO:0008084","imaginal disc growth factor receptor bin...",5,1,0.04,103,"0.04253","1.00000","0.04253","A0A026W5E2",""
"GO:0016671","oxidoreductase activity, acting on a sul...",5,1,0.04,28,"0.04253","0.04253","0.04253","A0A026W073","TrxT"
"GO:0038187","pattern recognition receptor activity",5,1,0.04,29,"0.04253","0.04253","0.04253","A0A026W798","GNBP3"
"GO:0140096","catalytic activity, acting on a protein",1201,16,10.39,104,"0.04754","1.00000","0.98536","A0A026VTG8;A0A026VU23;A0A026VWE0;A0A026W0P7;A0A026W0S2;A0A026W1C7;A0A026WEB2;A0A026WFP0;A0A026WH69;A0A026WI06;A0A026WJK5;A0A026WJN5;A0A026WPF7;A0A026WSC7;A0A026WSE1;A0A026X3N5",";;;;Nep2;;;;SETMAR;;;Ppib;;;;"
"GO:0003823","antigen binding",6,1,0.05,105,"0.05082","1.00000","0.05082","A0A026W6F8",""
"GO:0004034","aldose 1-epimerase activity",6,1,0.05,30,"0.05082","0.05082","0.05082","A0A026X2U9",""
"GO:0004035","alkaline phosphatase activity",6,1,0.05,31,"0.05082","0.05082","0.05082","A0A026W4J5",""
"GO:0004099","chitin deacetylase activity",6,1,0.05,106,"0.05082","1.00000","0.05082","A0A026WT37","verm"
"GO:0004563","beta-N-acetylhexosaminidase activity",6,1,0.05,107,"0.05082","1.00000","0.05082","A0A026W0Q1","Hexo1"
"GO:0015035","protein disulfide oxidoreductase activit...",6,1,0.05,32,"0.05082","0.05082","0.05082","A0A026W073","TrxT"
"GO:0016231","beta-N-acetylglucosaminidase activity",6,1,0.05,33,"0.05082","0.05082","0.05082","A0A026W0Q1","Hexo1"
"GO:0016668","oxidoreductase activity, acting on a sul...",6,1,0.05,108,"0.05082","1.00000","0.05082","A0A026W073","TrxT"
"GO:0030247","polysaccharide binding",6,1,0.05,109,"0.05082","1.00000","0.05082","A0A026W798","GNBP3"
"GO:0030882","lipid antigen binding",6,1,0.05,34,"0.05082","0.05082","0.05082","A0A026W6F8",""
"GO:0070891","lipoteichoic acid binding",6,1,0.05,35,"0.05082","0.05082","0.05082","A0A026W6F8",""
"GO:0004181","metallocarboxypeptidase activity",7,1,0.06,110,"0.05904","1.00000","0.05904","A0A026WH69",""
"GO:0004185","serine-type carboxypeptidase activity",7,1,0.06,111,"0.05904","1.00000","0.05904","A0A026VTG8",""
"GO:0015929","hexosaminidase activity",8,1,0.07,112,"0.06719","1.00000","0.06719","A0A026W0Q1","Hexo1"
"GO:0004500","dopamine beta-monooxygenase activity",10,1,0.09,36,"0.08328","0.08328","0.08328","A0A026WDK1",""
"GO:0016715","oxidoreductase activity, acting on paire...",10,1,0.09,113,"0.08328","1.00000","0.08328","A0A026WDK1",""
"GO:0016725","oxidoreductase activity, acting on CH or...",10,1,0.09,114,"0.08328","1.00000","0.08328","A0A026WM97",""
"GO:0016857","racemase and epimerase activity, acting ...",11,1,0.1,115,"0.09122","1.00000","0.09122","A0A026X2U9",""
"GO:0070006","metalloaminopeptidase activity",11,1,0.1,116,"0.09122","1.00000","0.09122","A0A026W0P7",""
"GO:0070008","serine-type exopeptidase activity",11,1,0.1,117,"0.09122","1.00000","0.09122","A0A026VTG8",""
"GO:0004558","alpha-1,4-glucosidase activity",13,1,0.11,118,"0.10690","1.00000","0.10690","A0A026WKS8","Mal-A3"
"GO:0016854","racemase and epimerase activity",13,1,0.11,119,"0.10690","1.00000","0.10690","A0A026X2U9",""
"GO:0032450","maltose alpha-glucosidase activity",13,1,0.11,37,"0.10690","0.10690","0.10690","A0A026WKS8","Mal-A3"
"GO:0090599","alpha-glucosidase activity",13,1,0.11,120,"0.10690","1.00000","0.10690","A0A026WKS8","Mal-A3"
"GO:0046914","transition metal ion binding",292,5,2.53,60,"0.10769","0.64223","0.41836","A0A026VVE4;A0A026VVU9;A0A026W0P7;A0A026WG66;A0A026X3N5",";Sod;Fer1HCH;;Fer2LCH"
"GO:0015036","disulfide oxidoreductase activity",14,1,0.12,121,"0.11464","1.00000","0.11464","A0A026W073","TrxT"
"GO:0004571","mannosyl-oligosaccharide 1,2-alpha-manno...",15,1,0.13,38,"0.12232","0.12232","0.12232","A0A026VXZ2",""
"GO:0005109","frizzled binding",15,1,0.13,39,"0.12232","0.12232","0.12232","A0A026X3S9",""
"GO:0015924","mannosyl-oligosaccharide mannosidase act...",15,1,0.13,122,"0.12232","1.00000","0.12232","A0A026VXZ2",""
"GO:0015926","glucosidase activity",15,1,0.13,123,"0.12232","1.00000","0.12232","A0A026WKS8","Mal-A3"
"GO:0004559","alpha-mannosidase activity",16,1,0.14,124,"0.12992","1.00000","0.12992","A0A026VXZ2",""
"GO:0046961","proton-transporting ATPase activity, rot...",16,1,0.14,40,"0.12992","0.12992","0.12992","A0A026X0M9","ATPsynbeta"
"GO:0016791","phosphatase activity",152,3,1.32,125,"0.14411","1.00000","0.70927","A0A026W4J5;A0A026WGA6;A0A026WSH9",";;"
"GO:0005126","cytokine receptor binding",18,1,0.16,41,"0.14495","0.14495","0.14495","A0A026W4U7","Pvf1"
"GO:0009678","pyrophosphate hydrolysis-driven proton t...",18,1,0.16,126,"0.14495","1.00000","0.14495","A0A026X0M9","ATPsynbeta"
"GO:0005496","steroid binding",19,1,0.16,127,"0.15236","1.00000","0.15236","A0A026W6F8",""
"GO:0032934","sterol binding",19,1,0.16,42,"0.15236","0.15236","0.15236","A0A026W6F8",""
"GO:0050660","flavin adenine dinucleotide binding",19,1,0.16,43,"0.15236","0.15236","0.15236","A0A026WM97",""
"GO:0044769","ATPase activity, coupled to transmembran...",21,1,0.18,128,"0.16700","1.00000","0.16700","A0A026X0M9","ATPsynbeta"
"GO:0046872","metal ion binding",432,6,3.74,65,"0.16926","0.77084","0.47219","A0A026VVE4;A0A026VVU9;A0A026W0P7;A0A026WG66;A0A026WKW2;A0A026X3N5",";;Sod;Fer1HCH;;Fer2LCH"
"GO:0016667","oxidoreductase activity, acting on a sul...",22,1,0.19,129,"0.17423","1.00000","0.17423","A0A026W073","TrxT"
"GO:0019213","deacetylase activity",24,1,0.21,130,"0.18850","1.00000","0.18850","A0A026WT37","verm"
"GO:0043169","cation binding",448,6,3.88,63,"0.18997","0.72318","0.50180","A0A026VVE4;A0A026VVU9;A0A026W0P7;A0A026WG66;A0A026WKW2;A0A026X3N5",";;Sod;Fer1HCH;;Fer2LCH"
"GO:0005198","structural molecule activity",449,6,3.88,69,"0.19129","0.96165","0.96070","A0A026VWV8;A0A026W1A3;A0A026WDK1;A0A026WF43;A0A026WT17;A0A026X0F2",";;;;;"
"GO:0005507","copper ion binding",25,1,0.22,44,"0.19554","0.19554","0.19554","A0A026WG66","Sod"
"GO:0042578","phosphoric ester hydrolase activity",178,3,1.54,131,"0.19940","1.00000","0.76761","A0A026W4J5;A0A026WGA6;A0A026WSH9",";;"
"GO:0008201","heparin binding",26,1,0.22,45,"0.20253","0.20253","0.20253","A0A026W4U7","Pvf1"
"GO:0016903","oxidoreductase activity, acting on the a...",27,1,0.23,46,"0.20945","0.20945","0.20945","A0A026WM97",""
"GO:0016853","isomerase activity",99,2,0.86,132,"0.21109","1.00000","0.21109","A0A026VU23;A0A026X2U9",";Ppib"
"GO:0000030","mannosyltransferase activity",28,1,0.24,47,"0.21631","0.21631","0.21631","A0A026WG72",""
"GO:0004197","cysteine-type endopeptidase activity",29,1,0.25,133,"0.22312","1.00000","0.22312","A0A026WSE1",""
"GO:0003755","peptidyl-prolyl cis-trans isomerase acti...",30,1,0.26,48,"0.22986","0.22986","0.22986","A0A026VU23","Ppib"
"GO:0016859","cis-trans isomerase activity",33,1,0.29,134,"0.24976","1.00000","0.24976","A0A026VU23","Ppib"
"GO:0004497","monooxygenase activity",35,1,0.3,135,"0.26274","1.00000","0.26274","A0A026WDK1",""
"GO:0019829","ATPase-coupled cation transmembrane tran...",35,1,0.3,136,"0.26274","1.00000","0.26274","A0A026X0M9","ATPsynbeta"
"GO:0008010","structural constituent of chitin-based l...",36,1,0.31,137,"0.26915","1.00000","0.26915","A0A026WT17",""
"GO:0043167","ion binding",729,8,6.31,138,"0.29376","1.00000","0.56653","A0A026VVE4;A0A026VVU9;A0A026W0P7;A0A026W4U7;A0A026WG66;A0A026WKW2;A0A026WM97;A0A026X3N5",";;;Pvf1;Sod;Fer1HCH;;Fer2LCH"
"GO:0000014","single-stranded DNA endodeoxyribonucleas...",40,1,0.35,49,"0.29424","0.29424","0.29424","A0A026W0S2","SETMAR"
"GO:0016705","oxidoreductase activity, acting on paire...",41,1,0.35,139,"0.30037","1.00000","0.30037","A0A026WDK1",""
"GO:0044547","DNA topoisomerase binding",41,1,0.35,50,"0.30037","0.30037","0.30037","A0A026W0S2","SETMAR"
"GO:0042625","ATPase-coupled ion transmembrane transpo...",42,1,0.36,140,"0.30646","1.00000","0.30646","A0A026X0M9","ATPsynbeta"
"GO:0008757","S-adenosylmethionine-dependent methyltra...",129,2,1.12,57,"0.30739","0.46871","0.30739","A0A026W0S2;A0A026W5L3",";SETMAR"
"GO:0016491","oxidoreductase activity",430,5,3.72,141,"0.31487","1.00000","0.31487","A0A026W073;A0A026WDB2;A0A026WDK1;A0A026WG66;A0A026WM97",";;TrxT;Sod;"
"GO:0046975","histone methyltransferase activity (H3-K...",44,1,0.38,51,"0.31847","0.31847","0.31847","A0A026W0S2","SETMAR"
"GO:1901681","sulfur compound binding",45,1,0.39,142,"0.32440","1.00000","0.32440","A0A026W4U7","Pvf1"
"GO:0016616","oxidoreductase activity, acting on the C...",46,1,0.4,143,"0.33028","1.00000","0.33028","A0A026WDB2",""
"GO:0042800","histone methyltransferase activity (H3-K...",46,1,0.4,52,"0.33028","0.33028","0.33028","A0A026W0S2","SETMAR"
"GO:0001664","G protein-coupled receptor binding",47,1,0.41,144,"0.33611","1.00000","0.33611","A0A026X3S9",""
"GO:0042393","histone binding",49,1,0.42,53,"0.34762","0.34762","0.34762","A0A026VT30",""
"GO:0008270","zinc ion binding",243,3,2.1,54,"0.35156","0.35156","0.35156","A0A026W0P7;A0A026WG66;A0A026X3N5",";Sod;"
"GO:0042803","protein homodimerization activity",246,3,2.13,55,"0.35871","0.35871","0.35871","A0A026VU35;A0A026W0S2;A0A026WG66","SETMAR;Sod;CREG"
"GO:0016614","oxidoreductase activity, acting on CH-OH...",51,1,0.44,145,"0.35893","1.00000","0.35893","A0A026WDB2",""
"GO:0008168","methyltransferase activity",146,2,1.26,146,"0.36137","1.00000","0.36137","A0A026W0S2;A0A026W5L3",";SETMAR"
"GO:0016651","oxidoreductase activity, acting on NAD(P...",53,1,0.46,147,"0.37005","1.00000","0.37005","A0A026W073","TrxT"
"GO:0016741","transferase activity, transferring one-c...",152,2,1.32,148,"0.38009","1.00000","0.38009","A0A026W0S2;A0A026W5L3",";SETMAR"
"GO:0005102","signaling receptor binding",256,3,2.22,149,"0.38247","1.00000","0.38247","A0A026W4U7;A0A026W5E2;A0A026X3S9",";;Pvf1"
"GO:0042277","peptide binding",58,1,0.5,56,"0.39702","0.39702","0.39702","A0A026W0P7",""
"GO:0018024","histone-lysine N-methyltransferase activ...",60,1,0.52,150,"0.40749","1.00000","0.40749","A0A026W0S2","SETMAR"
"GO:0036094","small molecule binding",161,2,1.39,62,"0.40774","0.71265","0.40774","A0A026WM97;A0A026WMB6",";Fuca"
"GO:0004520","endodeoxyribonuclease activity",61,1,0.53,151,"0.41265","1.00000","0.41265","A0A026W0S2","SETMAR"
"GO:0016278","lysine N-methyltransferase activity",61,1,0.53,152,"0.41265","1.00000","0.41265","A0A026W0S2","SETMAR"
"GO:0016279","protein-lysine N-methyltransferase activ...",61,1,0.53,153,"0.41265","1.00000","0.41265","A0A026W0S2","SETMAR"
"GO:0008289","lipid binding",169,2,1.46,154,"0.43183","1.00000","1.00000","A0A026W6F8;A0A026W798","GNBP3;"
"GO:0004536","deoxyribonuclease activity",73,1,0.63,155,"0.47129","1.00000","0.47129","A0A026W0S2","SETMAR"
"GO:0015078","proton transmembrane transporter activit...",73,1,0.63,156,"0.47129","1.00000","0.47129","A0A026X0M9","ATPsynbeta"
"GO:0042054","histone methyltransferase activity",74,1,0.64,157,"0.47591","1.00000","0.47591","A0A026W0S2","SETMAR"
"GO:0042802","identical protein binding",297,3,2.57,64,"0.47733","0.72564","0.47733","A0A026VU35;A0A026W0S2;A0A026WG66","SETMAR;Sod;CREG"
"GO:0030234","enzyme regulator activity",302,3,2.61,158,"0.48849","1.00000","0.92231","A0A026WI68;A0A026WJG2;A0A026WPM3",";SRPN3;TFPI"
"GO:0033218","amide binding",77,1,0.67,159,"0.48952","1.00000","0.48952","A0A026W0P7",""
"GO:0008170","N-methyltransferase activity",80,1,0.69,160,"0.50279","1.00000","0.50279","A0A026W0S2","SETMAR"
"GO:0008276","protein methyltransferase activity",80,1,0.69,161,"0.50279","1.00000","0.50279","A0A026W0S2","SETMAR"
"GO:0016788","hydrolase activity, acting on ester bond...",441,4,3.82,162,"0.53524","1.00000","0.88701","A0A026W0S2;A0A026W4J5;A0A026WGA6;A0A026WSH9",";;SETMAR;"
"GO:0042626","ATPase-coupled transmembrane transporter...",88,1,0.76,163,"0.53653","1.00000","0.53653","A0A026X0M9","ATPsynbeta"
"GO:0003697","single-stranded DNA binding",91,1,0.79,58,"0.54859","0.54859","0.54859","A0A026W0S2","SETMAR"
"GO:0043492","ATPase activity, coupled to movement of ...",96,1,0.83,59,"0.56801","0.56801","0.56801","A0A026X0M9","ATPsynbeta"
"GO:0015399","primary active transmembrane transporter...",102,1,0.88,164,"0.59023","1.00000","0.59023","A0A026X0M9","ATPsynbeta"
"GO:0004519","endonuclease activity",109,1,0.94,165,"0.61474","1.00000","0.61474","A0A026W0S2","SETMAR"
"GO:0046983","protein dimerization activity",371,3,3.21,166,"0.62936","1.00000","0.62936","A0A026VU35;A0A026W0S2;A0A026WG66","SETMAR;Sod;CREG"
"GO:0008234","cysteine-type peptidase activity",116,1,1,167,"0.63779","1.00000","0.63779","A0A026WSE1",""
"GO:0000166","nucleotide binding",119,1,1.03,168,"0.64725","1.00000","0.64725","A0A026WM97",""
"GO:0005509","calcium ion binding",119,1,1.03,61,"0.64725","0.64725","0.64725","A0A026WKW2",""
"GO:1901265","nucleoside phosphate binding",119,1,1.03,169,"0.64725","1.00000","0.64725","A0A026WM97",""
"GO:0016758","transferase activity, transferring hexos...",123,1,1.06,170,"0.65949","1.00000","0.65949","A0A026WG72",""
"GO:0016757","transferase activity, transferring glyco...",135,1,1.17,171,"0.69374","1.00000","0.69374","A0A026WG72",""
"GO:0022853","active ion transmembrane transporter act...",142,1,1.23,172,"0.71213","1.00000","0.71213","A0A026X0M9","ATPsynbeta"
"GO:0004518","nuclease activity",161,1,1.39,173,"0.75674","1.00000","0.75674","A0A026W0S2","SETMAR"
"GO:0043168","anion binding",311,2,2.69,174,"0.75721","1.00000","0.75721","A0A026W4U7;A0A026WM97",";Pvf1"
"GO:0140097","catalytic activity, acting on DNA",166,1,1.44,175,"0.76730","1.00000","0.76730","A0A026W0S2","SETMAR"
"GO:0015077","monovalent inorganic cation transmembran...",204,1,1.77,176,"0.83407","1.00000","0.83407","A0A026X0M9","ATPsynbeta"
"GO:0008134","transcription factor binding",212,1,1.83,66,"0.84551","0.84551","0.84551","A0A026VU35","CREG"
"GO:0022804","active transmembrane transporter activit...",222,1,1.92,177,"0.85872","1.00000","0.85872","A0A026X0M9","ATPsynbeta"
"GO:0038023","signaling receptor activity",317,1,2.74,178,"0.93991","1.00000","0.93991","A0A026W798","GNBP3"
"GO:0060089","molecular transducer activity",321,1,2.78,179,"0.94205","1.00000","0.94205","A0A026W798","GNBP3"
"GO:0022890","inorganic cation transmembrane transport...",325,1,2.81,180,"0.94411","1.00000","0.94411","A0A026X0M9","ATPsynbeta"
"GO:0008324","cation transmembrane transporter activit...",332,1,2.87,181,"0.94755","1.00000","0.94755","A0A026X0M9","ATPsynbeta"
