"GO.ID","Term","Annotated","Significant","Expected","Rank in result2","result1","result2","result3","GenesInTermAndTest","GenesInTermAndTest_eggNogName"
"GO:0005903","brush border",10,1,0.08,10,"0.07694","0.07694","0.07694","A0A026X326","TREH"
"GO:0005920","smooth septate junction",10,1,0.08,11,"0.07694","0.07694","0.07694","A0A026X5F3",""
"GO:0098862","cluster of actin-based cell projections",10,1,0.08,70,"0.07694","1.00000","0.07694","A0A026X326","TREH"
"GO:0045169","fusome",58,2,0.46,12,"0.07782","0.07782","0.07782","A0A026VVU9;A0A026WSE1",";Fer1HCH"
"GO:0046658","anchored component of plasma membrane",11,1,0.09,13,"0.08431","0.08431","0.08431","A0A026X326","TREH"
"GO:0000275","mitochondrial proton-transporting ATP sy...",12,1,0.1,14,"0.09162","0.09162","0.09162","A0A026X0M9","ATPsynbeta"
"GO:0045261","proton-transporting ATP synthase complex...",12,1,0.1,71,"0.09162","1.00000","0.09162","A0A026X0M9","ATPsynbeta"
"GO:0031225","anchored component of membrane",13,1,0.1,72,"0.09887","1.00000","0.09887","A0A026X326","TREH"
"GO:0000803","sex chromosome",14,1,0.11,15,"0.10606","0.10606","0.10606","A0A026W073","TrxT"
"GO:0097482","muscle cell postsynaptic specialization",18,1,0.14,16,"0.13427","0.13427","0.13427","A0A026VZR5","Fas2"
"GO:0016471","vacuolar proton-transporting V-type ATPa...",21,1,0.17,73,"0.15485","1.00000","0.15485","A0A026X3S9",""
"GO:0033181","plasma membrane proton-transporting V-ty...",21,1,0.17,74,"0.15485","1.00000","0.15485","A0A026W9I5",""
"GO:0045121","membrane raft",21,1,0.17,75,"0.15485","1.00000","0.15485","A0A026WJG2","TFPI"
"GO:0098857","membrane microdomain",21,1,0.17,76,"0.15485","1.00000","0.15485","A0A026WJG2","TFPI"
"GO:0005604","basement membrane",22,1,0.18,77,"0.16161","1.00000","0.16161","A0A026VY86",""
"GO:0005753","mitochondrial proton-transporting ATP sy...",22,1,0.18,78,"0.16161","1.00000","0.16161","A0A026X0M9","ATPsynbeta"
"GO:0030667","secretory granule membrane",22,1,0.18,17,"0.16161","0.16161","0.16161","A0A026WMB6","Fuca"
"GO:0045259","proton-transporting ATP synthase complex",22,1,0.18,79,"0.16161","1.00000","0.16161","A0A026X0M9","ATPsynbeta"
"GO:0042734","presynaptic membrane",23,1,0.18,18,"0.16831","0.16831","0.16831","A0A026VZR5","Fas2"
"GO:0033178","proton-transporting two-sector ATPase co...",25,1,0.2,80,"0.18155","1.00000","0.18155","A0A026X0M9","ATPsynbeta"
"GO:0019898","extrinsic component of membrane",99,2,0.79,19,"0.18652","0.18652","0.18652","A0A026WH94;A0A026WPJ5",";"
"GO:0098975","postsynapse of neuromuscular junction",26,1,0.21,81,"0.18809","1.00000","0.18809","A0A026VZR5","Fas2"
"GO:0099572","postsynaptic specialization",30,1,0.24,82,"0.21375","1.00000","0.21375","A0A026VZR5","Fas2"
"GO:0045211","postsynaptic membrane",34,1,0.27,20,"0.23860","0.23860","0.23860","A0A026VZR5","Fas2"
"GO:0110165","cellular anatomical entity",8487,69,67.65,28,"0.25312","0.64802","0.59318","A0A026VT30;A0A026VU23;A0A026VVE4;A0A026VVU9;A0A026VWV8;A0A026VY86;A0A026VZ91;A0A026VZR5;A0A026W073;A0A026W0P7;A0A026W0Q1;A0A026W0S2;A0A026W1A3;A0A026W1A5;A0A026W1C7;A0A026W2Z6;A0A026W329;A0A026W4J5;A0A026W4U7;A0A026W5E2;A0A026W5L3;A0A026W656;A0A026W6F8;A0A026W707;A0A026W798;A0A026W9I5;A0A026WDB2;A0A026WDF3;A0A026WDK1;A0A026WF43;A0A026WG30;A0A026WG66;A0A026WG72;A0A026WGA6;A0A026WH69;A0A026WH94;A0A026WHT1;A0A026WI06;A0A026WI68;A0A026WJG2;A0A026WJK5;A0A026WKW2;A0A026WL55;A0A026WLZ5;A0A026WM97;A0A026WMB6;A0A026WN66;A0A026WPJ5;A0A026WPM3;A0A026WSE1;A0A026WSH9;A0A026WT17;A0A026WT37;A0A026WTK0;A0A026WU73;A0A026WUA2;A0A026WV46;A0A026WWS5;A0A026WWV0;A0A026WXR1;A0A026WYH3;A0A026WYV1;A0A026X0F2;A0A026X0M9;A0A026X1V9;A0A026X326;A0A026X3N5;A0A026X3S9;A0A026X5F3",";;Hexo1;;;;;Cht3;;;;;ATPsynbeta;;;GNBP3;;Cht5;;;;;;;;;;;;;;;;Nep2;;Fas2;;;;verm;;;;SETMAR;;Cpap3-a1;SRPN3;;;;TrxT;Pvf1;;Sod;Fuca;Ppib;TREH;;;;;;Fer1HCH;;;TFPI;;;Fer2LCH"
"GO:0030141","secretory granule",37,1,0.29,83,"0.25674","1.00000","0.25674","A0A026WMB6","Fuca"
"GO:0098590","plasma membrane region",329,4,2.62,84,"0.26684","1.00000","0.26684","A0A026VZ91;A0A026VZR5;A0A026WJG2;A0A026X5F3",";Fas2;;TFPI"
"GO:0048786","presynaptic active zone",41,1,0.33,21,"0.28026","0.28026","0.28026","A0A026VZR5","Fas2"
"GO:0035861","site of double-strand break",43,1,0.34,22,"0.29174","0.29174","0.29174","A0A026W0S2","SETMAR"
"GO:0090734","site of DNA damage",43,1,0.34,85,"0.29174","1.00000","0.29174","A0A026W0S2","SETMAR"
"GO:0061174","type I terminal bouton",44,1,0.35,23,"0.29741","0.29741","0.29741","A0A026VZR5","Fas2"
"GO:0016327","apicolateral plasma membrane",46,1,0.37,24,"0.30862","0.30862","0.30862","A0A026X5F3",""
"GO:0005802","trans-Golgi network",50,1,0.4,25,"0.33052","0.33052","0.33052","A0A026W5L3",""
"GO:0097060","synaptic membrane",54,1,0.43,86,"0.35174","1.00000","0.35174","A0A026VZR5","Fas2"
"GO:0098794","postsynapse",65,1,0.52,87,"0.40672","1.00000","0.40672","A0A026VZR5","Fas2"
"GO:0098805","whole membrane",296,3,2.36,88,"0.42159","1.00000","0.42159","A0A026WJG2;A0A026WMB6;A0A026X3S9",";Fuca;TFPI"
"GO:0005918","septate junction",70,1,0.56,89,"0.43017","1.00000","0.43017","A0A026X5F3",""
"GO:0045177","apical part of cell",192,2,1.53,26,"0.45492","0.45492","0.45492","A0A026VZ91;A0A026X3S9",";"
"GO:0005774","vacuolar membrane",76,1,0.61,90,"0.45711","1.00000","0.45711","A0A026X3S9",""
"GO:0070160","tight junction",79,1,0.63,91,"0.47010","1.00000","0.47010","A0A026X5F3",""
"GO:0030659","cytoplasmic vesicle membrane",84,1,0.67,92,"0.49108","1.00000","0.49108","A0A026WMB6","Fuca"
"GO:0012506","vesicle membrane",93,1,0.74,93,"0.52679","1.00000","0.52679","A0A026WMB6","Fuca"
"GO:0016324","apical plasma membrane",93,1,0.74,94,"0.52679","1.00000","0.52679","A0A026VZ91",""
"GO:0043195","terminal bouton",103,1,0.82,95,"0.56358","1.00000","0.56358","A0A026VZR5","Fas2"
"GO:0005777","peroxisome",105,1,0.84,27,"0.57060","0.57060","0.57060","A0A026WG66","Sod"
"GO:0042579","microbody",105,1,0.84,96,"0.57060","1.00000","0.57060","A0A026WG66","Sod"
"GO:0005886","plasma membrane",1412,11,11.25,37,"0.58385","0.96276","0.58385","A0A026VZ91;A0A026VZR5;A0A026W0Q1;A0A026W9I5;A0A026WHT1;A0A026WJG2;A0A026WMB6;A0A026WTK0;A0A026X326;A0A026X3S9;A0A026X5F3","Hexo1;;;Fas2;;;Fuca;TREH;;TFPI;"
"GO:0043296","apical junction complex",109,1,0.87,97,"0.58429","1.00000","0.58429","A0A026X5F3",""
"GO:0043679","axon terminus",112,1,0.89,98,"0.59428","1.00000","0.59428","A0A026VZR5","Fas2"
"GO:0044306","neuron projection terminus",112,1,0.89,99,"0.59428","1.00000","0.59428","A0A026VZR5","Fas2"
"GO:0005794","Golgi apparatus",386,3,3.08,30,"0.60003","0.76700","0.60003","A0A026VVE4;A0A026VVU9;A0A026W5L3",";Fer1HCH;Fer2LCH"
"GO:0099503","secretory vesicle",114,1,0.91,100,"0.60080","1.00000","0.60080","A0A026WMB6","Fuca"
"GO:0031594","neuromuscular junction",128,1,1.02,101,"0.64368","1.00000","0.64368","A0A026VZR5","Fas2"
"GO:0031982","vesicle",565,4,4.5,102,"0.66782","1.00000","0.93122","A0A026W5L3;A0A026WGA6;A0A026WMB6;A0A026WSH9",";;;Fuca"
"GO:0150034","distal axon",148,1,1.18,103,"0.69716","1.00000","0.69716","A0A026VZR5","Fas2"
"GO:0098800","inner mitochondrial membrane protein com...",149,1,1.19,104,"0.69962","1.00000","0.69962","A0A026X0M9","ATPsynbeta"
"GO:0071944","cell periphery",1563,11,12.46,34,"0.72367","0.92761","0.72367","A0A026VZ91;A0A026VZR5;A0A026W0Q1;A0A026W9I5;A0A026WHT1;A0A026WJG2;A0A026WMB6;A0A026WTK0;A0A026X326;A0A026X3S9;A0A026X5F3","Hexo1;;;Fas2;;;Fuca;TREH;;TFPI;"
"GO:0005730","nucleolus",338,2,2.69,29,"0.75759","0.75759","0.75759","A0A026VT30;A0A026W0S2",";SETMAR"
"GO:0098791","Golgi apparatus subcompartment",184,1,1.47,105,"0.77424","1.00000","0.77424","A0A026W5L3",""
"GO:0098588","bounding membrane of organelle",351,2,2.8,106,"0.77604","1.00000","0.77604","A0A026WMB6;A0A026X3S9",";Fuca"
"GO:0031224","intrinsic component of membrane",1232,8,9.82,32,"0.78461","0.90833","0.78461","A0A026VWV8;A0A026VZR5;A0A026W1C7;A0A026W656;A0A026WHT1;A0A026WTK0;A0A026X326;A0A026X5F3",";Nep2;Fas2;;;TREH;;"
"GO:0098797","plasma membrane protein complex",211,1,1.68,107,"0.81903","1.00000","0.81903","A0A026W9I5",""
"GO:0016020","membrane",2507,17,19.98,38,"0.82261","0.96614","0.93184","A0A026VWV8;A0A026VZ91;A0A026VZR5;A0A026W0Q1;A0A026W1C7;A0A026W656;A0A026W9I5;A0A026WH94;A0A026WHT1;A0A026WJG2;A0A026WMB6;A0A026WPJ5;A0A026WTK0;A0A026X0M9;A0A026X326;A0A026X3S9;A0A026X5F3","Hexo1;;ATPsynbeta;;;;Nep2;Fas2;;;;Fuca;TREH;;;TFPI;"
"GO:0099081","supramolecular polymer",218,1,1.74,108,"0.82913","1.00000","0.82913","A0A026VY86",""
"GO:0098793","presynapse",228,1,1.82,109,"0.84260","1.00000","0.84260","A0A026VZR5","Fas2"
"GO:0030424","axon",234,1,1.87,110,"0.85018","1.00000","0.85018","A0A026VZR5","Fas2"
"GO:0098796","membrane protein complex",580,3,4.62,111,"0.85026","1.00000","1.00000","A0A026W9I5;A0A026X0M9;A0A026X3S9",";ATPsynbeta;"
"GO:0005911","cell-cell junction",241,1,1.92,112,"0.85857","1.00000","0.85857","A0A026X5F3",""
"GO:0070161","anchoring junction",241,1,1.92,113,"0.85857","1.00000","0.85857","A0A026X5F3",""
"GO:0031226","intrinsic component of plasma membrane",612,3,4.88,40,"0.87507","0.98361","0.87507","A0A026WHT1;A0A026X326;A0A026X5F3",";TREH;"
"GO:0005743","mitochondrial inner membrane",261,1,2.08,114,"0.88006","1.00000","0.88006","A0A026X0M9","ATPsynbeta"
"GO:0019866","organelle inner membrane",267,1,2.13,115,"0.88585","1.00000","0.88585","A0A026X0M9","ATPsynbeta"
"GO:0005700","polytene chromosome",279,1,2.22,31,"0.89663","0.89663","0.89663","A0A026WDK1",""
"GO:0098798","mitochondrial protein complex",283,1,2.26,116,"0.89999","1.00000","0.89999","A0A026X0M9","ATPsynbeta"
"GO:0005768","endosome",299,1,2.38,33,"0.91241","0.91241","0.91241","A0A026W5L3",""
"GO:0031966","mitochondrial membrane",312,1,2.49,117,"0.92136","1.00000","0.92136","A0A026X0M9","ATPsynbeta"
"GO:0031410","cytoplasmic vesicle",516,2,4.11,118,"0.92342","1.00000","0.92342","A0A026W5L3;A0A026WMB6",";Fuca"
"GO:0097708","intracellular vesicle",516,2,4.11,119,"0.92342","1.00000","0.92342","A0A026W5L3;A0A026WMB6",";Fuca"
"GO:0016021","integral component of membrane",1196,6,9.53,35,"0.92899","0.94630","0.92899","A0A026VWV8;A0A026VZR5;A0A026W1C7;A0A026WHT1;A0A026WTK0;A0A026X5F3",";Nep2;Fas2;;;"
"GO:0005694","chromosome",715,3,5.7,43,"0.93228","0.99416","0.93228","A0A026W073;A0A026W0S2;A0A026WDK1",";SETMAR;TrxT"
"GO:0005740","mitochondrial envelope",331,1,2.64,120,"0.93285","1.00000","0.93285","A0A026X0M9","ATPsynbeta"
"GO:0031984","organelle subcompartment",351,1,2.8,121,"0.94316","1.00000","0.94316","A0A026W5L3",""
"GO:0099080","supramolecular complex",353,1,2.81,122,"0.94410","1.00000","0.94410","A0A026VY86",""
"GO:0043005","neuron projection",367,1,2.93,123,"0.95026","1.00000","0.95026","A0A026VZR5","Fas2"
"GO:0045202","synapse",368,1,2.93,124,"0.95068","1.00000","0.95068","A0A026VZR5","Fas2"
"GO:0030054","cell junction",582,2,4.64,125,"0.95156","1.00000","0.95156","A0A026VZR5;A0A026X5F3","Fas2;"
"GO:0005887","integral component of plasma membrane",587,2,4.68,41,"0.95324","0.98790","0.95324","A0A026WHT1;A0A026X5F3",";"
"GO:0031090","organelle membrane",799,3,6.37,126,"0.96010","1.00000","0.96010","A0A026WMB6;A0A026X0M9;A0A026X3S9",";ATPsynbeta;Fuca"
"GO:0012505","endomembrane system",1201,5,9.57,42,"0.97122","0.98803","0.97122","A0A026VVE4;A0A026VVU9;A0A026W5L3;A0A026WG72;A0A026WMB6",";;Fuca;Fer1HCH;Fer2LCH"
"GO:0005783","endoplasmic reticulum",435,1,3.47,39,"0.97189","0.97189","0.97189","A0A026WG72",""
"GO:0005829","cytosol",664,2,5.29,36,"0.97308","0.95021","0.97308","A0A026WDB2;A0A026WM97",";"
"GO:0031967","organelle envelope",461,1,3.67,127,"0.97743","1.00000","0.97743","A0A026X0M9","ATPsynbeta"
"GO:0031975","envelope",461,1,3.67,128,"0.97743","1.00000","0.97743","A0A026X0M9","ATPsynbeta"
"GO:0120025","plasma membrane bounded cell projection",601,1,4.79,129,"0.99316","1.00000","0.99316","A0A026VZR5","Fas2"
"GO:0042995","cell projection",603,1,4.81,130,"0.99328","1.00000","0.99328","A0A026VZR5","Fas2"
"GO:0031981","nuclear lumen",1102,2,8.78,44,"0.99911","0.99977","0.99911","A0A026VT30;A0A026W0S2",";SETMAR"
"GO:0005739","mitochondrion",911,1,7.26,131,"0.99955","1.00000","0.99955","A0A026X0M9","ATPsynbeta"
"GO:0005737","cytoplasm",4691,24,37.39,45,"0.99963","0.99979","0.99995","A0A026VT30;A0A026VVE4;A0A026VVU9;A0A026VZR5;A0A026W073;A0A026W0P7;A0A026W4U7;A0A026W5L3;A0A026W656;A0A026WDB2;A0A026WG66;A0A026WG72;A0A026WI06;A0A026WJK5;A0A026WL55;A0A026WM97;A0A026WMB6;A0A026WSE1;A0A026WU73;A0A026WV46;A0A026WYH3;A0A026WYV1;A0A026X0M9;A0A026X3S9",";;;;;;;ATPsynbeta;Cht5;;;;Fas2;;TrxT;Pvf1;;Sod;Fuca;;Fer1HCH;;;Fer2LCH"
"GO:0031974","membrane-enclosed lumen",1349,2,10.75,132,"0.99989","1.00000","0.99989","A0A026VT30;A0A026W0S2",";SETMAR"
"GO:0043233","organelle lumen",1349,2,10.75,133,"0.99989","1.00000","0.99989","A0A026VT30;A0A026W0S2",";SETMAR"
"GO:0070013","intracellular organelle lumen",1349,2,10.75,46,"0.99989","0.99998","0.99989","A0A026VT30;A0A026W0S2",";SETMAR"
"GO:0043228","non-membrane-bounded organelle",1835,4,14.63,134,"0.99992","1.00000","0.99992","A0A026VT30;A0A026W073;A0A026W0S2;A0A026WDK1",";;SETMAR;TrxT"
"GO:0043232","intracellular non-membrane-bounded organ...",1835,4,14.63,47,"0.99992","1.00000","0.99992","A0A026VT30;A0A026W073;A0A026W0S2;A0A026WDK1",";;SETMAR;TrxT"
"GO:0032991","protein-containing complex",3161,10,25.19,135,"0.99999","1.00000","1.00000","A0A026VVE4;A0A026VVU9;A0A026VY86;A0A026W9I5;A0A026WN66;A0A026WWS5;A0A026WWV0;A0A026WXR1;A0A026X0M9;A0A026X3S9",";;ATPsynbeta;;;;;Fer1HCH;;Fer2LCH"
"GO:0005634","nucleus",2943,6,23.46,48,"1.00000","1.00000","1.00000","A0A026VT30;A0A026W073;A0A026W0S2;A0A026WDK1;A0A026WGA6;A0A026WSH9",";;;;SETMAR;TrxT"
"GO:0043231","intracellular membrane-bounded organelle",4688,17,37.37,50,"1.00000","1.00000","1.00000","A0A026VT30;A0A026VVE4;A0A026VVU9;A0A026W073;A0A026W0S2;A0A026W5L3;A0A026W656;A0A026WDK1;A0A026WG66;A0A026WG72;A0A026WGA6;A0A026WL55;A0A026WSE1;A0A026WSH9;A0A026WU73;A0A026X0M9;A0A026X3S9",";;;;;;ATPsynbeta;;;;SETMAR;TrxT;Sod;Fer1HCH;;;Fer2LCH"
"GO:0043227","membrane-bounded organelle",5033,18,40.12,51,"1.00000","1.00000","1.00000","A0A026VT30;A0A026VVE4;A0A026VVU9;A0A026W073;A0A026W0S2;A0A026W5L3;A0A026W656;A0A026WDK1;A0A026WG66;A0A026WG72;A0A026WGA6;A0A026WL55;A0A026WMB6;A0A026WSE1;A0A026WSH9;A0A026WU73;A0A026X0M9;A0A026X3S9",";;;;;;ATPsynbeta;;;;SETMAR;TrxT;Sod;Fuca;Fer1HCH;;;Fer2LCH"
"GO:0043226","organelle",5769,19,45.98,49,"1.00000","1.00000","1.00000","A0A026VT30;A0A026VVE4;A0A026VVU9;A0A026VZR5;A0A026W073;A0A026W0S2;A0A026W5L3;A0A026W656;A0A026WDK1;A0A026WG66;A0A026WG72;A0A026WGA6;A0A026WL55;A0A026WMB6;A0A026WSE1;A0A026WSH9;A0A026WU73;A0A026X0M9;A0A026X3S9",";;;;;;ATPsynbeta;;;Fas2;;SETMAR;TrxT;Sod;Fuca;Fer1HCH;;;Fer2LCH"
"GO:0043229","intracellular organelle",5678,18,45.26,52,"1.00000","1.00000","1.00000","A0A026VT30;A0A026VVE4;A0A026VVU9;A0A026W073;A0A026W0S2;A0A026W5L3;A0A026W656;A0A026WDK1;A0A026WG66;A0A026WG72;A0A026WGA6;A0A026WL55;A0A026WMB6;A0A026WSE1;A0A026WSH9;A0A026WU73;A0A026X0M9;A0A026X3S9",";;;;;;ATPsynbeta;;;;SETMAR;TrxT;Sod;Fuca;Fer1HCH;;;Fer2LCH"
"GO:0005622","intracellular",7000,28,55.79,136,"1.00000","1.00000","1.00000","A0A026VT30;A0A026VVE4;A0A026VVU9;A0A026VZR5;A0A026W073;A0A026W0P7;A0A026W0S2;A0A026W4U7;A0A026W5L3;A0A026W656;A0A026WDB2;A0A026WDK1;A0A026WG66;A0A026WG72;A0A026WGA6;A0A026WI06;A0A026WJK5;A0A026WL55;A0A026WM97;A0A026WMB6;A0A026WSE1;A0A026WSH9;A0A026WU73;A0A026WV46;A0A026WYH3;A0A026WYV1;A0A026X0M9;A0A026X3S9",";;;;;;;;ATPsynbeta;Cht5;;;;;Fas2;;SETMAR;;TrxT;Pvf1;;Sod;Fuca;;Fer1HCH;;;Fer2LCH"
"GO:0005575","cellular_component",8657,69,69,137,"1.00000","1.00000","1.00000","A0A026VT30;A0A026VU23;A0A026VVE4;A0A026VVU9;A0A026VWV8;A0A026VY86;A0A026VZ91;A0A026VZR5;A0A026W073;A0A026W0P7;A0A026W0Q1;A0A026W0S2;A0A026W1A3;A0A026W1A5;A0A026W1C7;A0A026W2Z6;A0A026W329;A0A026W4J5;A0A026W4U7;A0A026W5E2;A0A026W5L3;A0A026W656;A0A026W6F8;A0A026W707;A0A026W798;A0A026W9I5;A0A026WDB2;A0A026WDF3;A0A026WDK1;A0A026WF43;A0A026WG30;A0A026WG66;A0A026WG72;A0A026WGA6;A0A026WH69;A0A026WH94;A0A026WHT1;A0A026WI06;A0A026WI68;A0A026WJG2;A0A026WJK5;A0A026WKW2;A0A026WL55;A0A026WLZ5;A0A026WM97;A0A026WMB6;A0A026WN66;A0A026WPJ5;A0A026WPM3;A0A026WSE1;A0A026WSH9;A0A026WT17;A0A026WT37;A0A026WTK0;A0A026WU73;A0A026WUA2;A0A026WV46;A0A026WWS5;A0A026WWV0;A0A026WXR1;A0A026WYH3;A0A026WYV1;A0A026X0F2;A0A026X0M9;A0A026X1V9;A0A026X326;A0A026X3N5;A0A026X3S9;A0A026X5F3",";;Hexo1;;;;;Cht3;;;;;ATPsynbeta;;;GNBP3;;Cht5;;;;;;;;;;;;;;;;Nep2;;Fas2;;;;verm;;;;SETMAR;;Cpap3-a1;SRPN3;;;;TrxT;Pvf1;;Sod;Fuca;Ppib;TREH;;;;;;Fer1HCH;;;TFPI;;;Fer2LCH"
"GO:0000109","nucleotide-excision repair complex",6,0,0.05,138,"1.00000","1.00000","1.00000","",""
"GO:0000110","nucleotide-excision repair factor 1 comp...",4,0,0.03,139,"1.00000","1.00000","1.00000","",""
"GO:0000118","histone deacetylase complex",40,0,0.32,140,"1.00000","1.00000","1.00000","",""
"GO:0000123","histone acetyltransferase complex",85,0,0.68,141,"1.00000","1.00000","1.00000","",""
"GO:0000124","SAGA complex",22,0,0.18,142,"1.00000","1.00000","1.00000","",""
"GO:0000126","transcription factor TFIIIB complex",5,0,0.04,143,"1.00000","1.00000","1.00000","",""
"GO:0000127","transcription factor TFIIIC complex",3,0,0.02,144,"1.00000","1.00000","1.00000","",""
"GO:0000137","Golgi cis cisterna",15,0,0.12,145,"1.00000","1.00000","1.00000","",""
"GO:0000138","Golgi trans cisterna",12,0,0.1,146,"1.00000","1.00000","1.00000","",""
"GO:0000139","Golgi membrane",73,0,0.58,147,"1.00000","1.00000","1.00000","",""
"GO:0000145","exocyst",11,0,0.09,148,"1.00000","1.00000","1.00000","",""
"GO:0000151","ubiquitin ligase complex",169,0,1.35,149,"1.00000","1.00000","1.00000","",""
"GO:0000152","nuclear ubiquitin ligase complex",31,0,0.25,150,"1.00000","1.00000","1.00000","",""
"GO:0000153","cytoplasmic ubiquitin ligase complex",6,0,0.05,151,"1.00000","1.00000","1.00000","",""
"GO:0000159","protein phosphatase type 2A complex",8,0,0.06,152,"1.00000","1.00000","1.00000","",""
"GO:0000164","protein phosphatase type 1 complex",3,0,0.02,153,"1.00000","1.00000","1.00000","",""
"GO:0000172","ribonuclease MRP complex",9,0,0.07,154,"1.00000","1.00000","1.00000","",""
"GO:0000176","nuclear exosome (RNase complex)",15,0,0.12,155,"1.00000","1.00000","1.00000","",""
"GO:0000177","cytoplasmic exosome (RNase complex)",10,0,0.08,156,"1.00000","1.00000","1.00000","",""
"GO:0000178","exosome (RNase complex)",20,0,0.16,157,"1.00000","1.00000","1.00000","",""
