"GO.ID","Term","Annotated","Significant","Expected","Rank in result2","result1","result2","result3","GenesInTermAndTest","GenesInTermAndTest_eggNogName"
"GO:0046477","glycosylceramide catabolic process",5,3,0.04,3,"5.0e-06","5.0e-06","5.0e-06","A0A026W6F6;A0A026WL55;A0A026WYH3",";;"
"GO:0046479","glycosphingolipid catabolic process",5,3,0.04,199,"5.0e-06","1.00000","1.00000","A0A026W6F6;A0A026WL55;A0A026WYH3",";;"
"GO:0006040","amino sugar metabolic process",57,6,0.46,200,"6.0e-06","1.00000","1.00000","A0A026VWQ3;A0A026W5E2;A0A026WT37;A0A026WT83;A0A026WUA2;A0A026WYV1",";serp;;;;"
"GO:0042737","drug catabolic process",61,6,0.49,4,"8.9e-06","8.9e-06","8.9e-06","A0A026VWQ3;A0A026W5E2;A0A026WT37;A0A026WT83;A0A026WUA2;A0A026WYV1",";serp;;;;"
"GO:0035150","regulation of tube size",94,7,0.76,5,"9.9e-06","9.9e-06","0.07263","A0A026VZR5;A0A026W3Q8;A0A026WDF3;A0A026WF43;A0A026WG30;A0A026WT37;A0A026WT83","serp;;;;;;"
"GO:0006677","glycosylceramide metabolic process",6,3,0.05,201,"1.0e-05","1.00000","1.00000","A0A026W6F6;A0A026WL55;A0A026WYH3",";;"
"GO:0046514","ceramide catabolic process",6,3,0.05,202,"1.0e-05","1.00000","1.00000","A0A026W6F6;A0A026WL55;A0A026WYH3",";;"
"GO:0016201","synaptic target inhibition",19,4,0.15,6,"1.4e-05","1.4e-05","1.4e-05","A0A026WN66;A0A026WWS5;A0A026WWV0;A0A026WXR1",";;;"
"GO:1901565","organonitrogen compound catabolic proces...",488,14,3.94,203,"3.0e-05","1.00000","0.61034","A0A026VWQ3;A0A026W0P7;A0A026W2Z6;A0A026W5E2;A0A026W6F6;A0A026WL55;A0A026WM97;A0A026WMB6;A0A026WSE1;A0A026WT37;A0A026WT83;A0A026WUA2;A0A026WYH3;A0A026WYV1",";;;;serp;;;;;;;;;"
"GO:0030149","sphingolipid catabolic process",9,3,0.07,204,"4.1e-05","1.00000","1.00000","A0A026W6F6;A0A026WL55;A0A026WYH3",";;"
"GO:0046466","membrane lipid catabolic process",9,3,0.07,205,"4.1e-05","1.00000","1.00000","A0A026W6F6;A0A026WL55;A0A026WYH3",";;"
"GO:0035151","regulation of tube size, open tracheal s...",84,6,0.68,206,"5.6e-05","1.00000","0.00920","A0A026VZR5;A0A026W3Q8;A0A026WDF3;A0A026WG30;A0A026WT37;A0A026WT83","serp;;;;;"
"GO:0006687","glycosphingolipid metabolic process",11,3,0.09,207,"8.0e-05","1.00000","1.00000","A0A026W6F6;A0A026WL55;A0A026WYH3",";;"
"GO:1901135","carbohydrate derivative metabolic proces...",547,14,4.42,208,"0.00010","1.00000","0.96847","A0A026VWQ3;A0A026VXZ2;A0A026W0Q1;A0A026W2Z6;A0A026W5E2;A0A026W6F6;A0A026WG72;A0A026WL55;A0A026WMB6;A0A026WT37;A0A026WT83;A0A026WUA2;A0A026WYH3;A0A026WYV1",";;;;serp;;;;;;;;;"
"GO:0050919","negative chemotaxis",31,4,0.25,209,"0.00010","1.00000","1.00000","A0A026WN66;A0A026WWS5;A0A026WWV0;A0A026WXR1",";;;"
"GO:1901575","organic substance catabolic process",802,17,6.48,210,"0.00018","1.00000","0.43892","A0A026VWQ3;A0A026W0P7;A0A026W2Z6;A0A026W5E2;A0A026W6F6;A0A026WL55;A0A026WM97;A0A026WMB6;A0A026WSE1;A0A026WT37;A0A026WT83;A0A026WUA2;A0A026WYH3;A0A026WYV1;A0A026X0X3;A0A026X1V9;A0A026X2U9",";;;;serp;;;;;;;;;;;;"
"GO:0006678","glucosylceramide metabolic process",3,2,0.02,7,"0.00019","0.00019","0.00019","A0A026W6F6;A0A026WL55",";"
"GO:0061687","detoxification of inorganic compound",3,2,0.02,211,"0.00019","1.00000","1.00000","A0A026VVE4;A0A026VVU9",";"
"GO:0098711","iron ion import across plasma membrane",3,2,0.02,8,"0.00019","0.00019","0.00019","A0A026VVE4;A0A026VVU9",";"
"GO:1990461","detoxification of iron ion",3,2,0.02,9,"0.00019","0.00019","0.00019","A0A026VVE4;A0A026VVU9",";"
"GO:0006672","ceramide metabolic process",17,3,0.14,212,"0.00032","1.00000","1.00000","A0A026W6F6;A0A026WL55;A0A026WYH3",";;"
"GO:0009607","response to biotic stimulus",400,11,3.23,213,"0.00034","1.00000","0.24212","A0A026VVE4;A0A026VVU9;A0A026VZ76;A0A026W073;A0A026W2Z6;A0A026W6F8;A0A026W798;A0A026WB04;A0A026WI68;A0A026WMB6;A0A026WW33",";;;;;;;;;;"
"GO:0043207","response to external biotic stimulus",400,11,3.23,214,"0.00034","1.00000","0.24212","A0A026VVE4;A0A026VVU9;A0A026VZ76;A0A026W073;A0A026W2Z6;A0A026W6F8;A0A026W798;A0A026WB04;A0A026WI68;A0A026WMB6;A0A026WW33",";;;;;;;;;;"
"GO:0051707","response to other organism",400,11,3.23,215,"0.00034","1.00000","0.24212","A0A026VVE4;A0A026VVU9;A0A026VZ76;A0A026W073;A0A026W2Z6;A0A026W6F8;A0A026W798;A0A026WB04;A0A026WI68;A0A026WMB6;A0A026WW33",";;;;;;;;;;"
"GO:0006027","glycosaminoglycan catabolic process",4,2,0.03,216,"0.00038","1.00000","0.00038","A0A026W2Z6;A0A026WMB6",";"
"GO:0006880","intracellular sequestering of iron ion",4,2,0.03,10,"0.00038","0.00038","0.00038","A0A026VVE4;A0A026VVU9",";"
"GO:0010039","response to iron ion",4,2,0.03,217,"0.00038","1.00000","1.00000","A0A026VVE4;A0A026VVU9",";"
"GO:0097577","sequestering of iron ion",4,2,0.03,218,"0.00038","1.00000","1.00000","A0A026VVE4;A0A026VVU9",";"
"GO:0008045","motor neuron axon guidance",120,6,0.97,11,"0.00040","0.00040","0.00040","A0A026VZR5;A0A026W3Q8;A0A026WN66;A0A026WWS5;A0A026WWV0;A0A026WXR1",";;;;;"
"GO:0044419","interspecies interaction between organis...",420,11,3.39,219,"0.00051","1.00000","0.27473","A0A026VVE4;A0A026VVU9;A0A026VZ76;A0A026W073;A0A026W2Z6;A0A026W6F8;A0A026W798;A0A026WB04;A0A026WI68;A0A026WMB6;A0A026WW33",";;;;;;;;;;"
"GO:0040003","chitin-based cuticle development",127,6,1.03,12,"0.00054","0.00054","0.00054","A0A026W5E2;A0A026WDF3;A0A026WEW7;A0A026WG30;A0A026WT17;A0A026WYV1",";;;;;"
"GO:0035152","regulation of tube architecture, open tr...",133,6,1.07,220,"0.00069","1.00000","1.00000","A0A026VZR5;A0A026W3Q8;A0A026WDF3;A0A026WG30;A0A026WT37;A0A026WT83","serp;;;;;"
"GO:0098754","detoxification",53,4,0.43,221,"0.00085","1.00000","0.05873","A0A026VVE4;A0A026VVU9;A0A026W073;A0A026WG66",";;;"
"GO:0009056","catabolic process",1017,18,8.22,222,"0.00099","1.00000","0.49323","A0A026VWQ3;A0A026W0P7;A0A026W2Z6;A0A026W5E2;A0A026W6F6;A0A026WG66;A0A026WL55;A0A026WM97;A0A026WMB6;A0A026WSE1;A0A026WT37;A0A026WT83;A0A026WUA2;A0A026WYH3;A0A026WYV1;A0A026X0X3;A0A026X1V9;A0A026X2U9",";;;;serp;;;;;;;;;;;;;"
"GO:0005996","monosaccharide metabolic process",57,4,0.46,223,"0.00112","1.00000","0.05268","A0A026VXZ2;A0A026WSS1;A0A026WTW5;A0A026X2U9",";;;"
"GO:0048803","imaginal disc-derived male genitalia mor...",27,3,0.22,14,"0.00129","0.00129","0.00129","A0A026VZR5;A0A026WF43;A0A026WV46",";;"
"GO:0033212","iron import into cell",7,2,0.06,224,"0.00132","1.00000","1.00000","A0A026VVE4;A0A026VVU9",";"
"GO:0035126","post-embryonic genitalia morphogenesis",28,3,0.23,225,"0.00144","1.00000","1.00000","A0A026VZR5;A0A026WF43;A0A026WV46",";;"
"GO:0048805","imaginal disc-derived genitalia morphoge...",28,3,0.23,226,"0.00144","1.00000","1.00000","A0A026VZR5;A0A026WF43;A0A026WV46",";;"
"GO:0048808","male genitalia morphogenesis",30,3,0.24,227,"0.00176","1.00000","1.00000","A0A026VZR5;A0A026WF43;A0A026WV46",";;"
"GO:0090598","male anatomical structure morphogenesis",30,3,0.24,228,"0.00176","1.00000","1.00000","A0A026VZR5;A0A026WF43;A0A026WV46",";;"
"GO:0035159","regulation of tube length, open tracheal...",65,4,0.53,229,"0.00183","1.00000","0.00183","A0A026VZR5;A0A026W3Q8;A0A026WT37;A0A026WT83","serp;;;"
"GO:0007483","genital disc morphogenesis",32,3,0.26,230,"0.00212","1.00000","1.00000","A0A026VZR5;A0A026WF43;A0A026WV46",";;"
"GO:0090066","regulation of anatomical structure size",356,9,2.88,231,"0.00219","1.00000","0.33492","A0A026VZR5;A0A026W3Q8;A0A026WCB6;A0A026WDF3;A0A026WF43;A0A026WG30;A0A026WSS1;A0A026WT37;A0A026WT83","serp;;;;;;;;"
"GO:0009605","response to external stimulus",1185,19,9.57,232,"0.00226","1.00000","0.69645","A0A026VVE4;A0A026VVU9;A0A026VZ76;A0A026VZR5;A0A026W073;A0A026W2Z6;A0A026W3Q8;A0A026W6F8;A0A026W798;A0A026WB04;A0A026WI68;A0A026WMB6;A0A026WN66;A0A026WQ88;A0A026WW33;A0A026WWS5;A0A026WWV0;A0A026WXR1;A0A026X3S9",";;;;;;;;;;;;;;;;;;"
"GO:0035112","genitalia morphogenesis",33,3,0.27,233,"0.00232","1.00000","1.00000","A0A026VZR5;A0A026WF43;A0A026WV46",";;"
"GO:0006012","galactose metabolic process",10,2,0.08,35,"0.00278","0.03926","0.00278","A0A026WTW5;A0A026X2U9",";"
"GO:0006517","protein deglycosylation",10,2,0.08,15,"0.00278","0.00278","0.00278","A0A026VXZ2;A0A026W0Q1",";"
"GO:0006767","water-soluble vitamin metabolic process",10,2,0.08,16,"0.00278","0.00278","0.00278","A0A026WM97;A0A026WSS1",";"
"GO:0051238","sequestering of metal ion",10,2,0.08,234,"0.00278","1.00000","1.00000","A0A026VVE4;A0A026VVU9",";"
"GO:0030539","male genitalia development",36,3,0.29,235,"0.00299","1.00000","1.00000","A0A026VZR5;A0A026WF43;A0A026WV46",";;"
"GO:0006508","proteolysis",685,13,5.53,19,"0.00307","0.00947","0.01492","A0A026VWE0;A0A026VZ76;A0A026W0P7;A0A026W1C7;A0A026WEB2;A0A026WFP0;A0A026WH69;A0A026WI06;A0A026WI68;A0A026WMA6;A0A026WPF7;A0A026WSC7;A0A026WSE1",";;;;;;;;;;;;"
"GO:0034755","iron ion transmembrane transport",11,2,0.09,236,"0.00338","1.00000","1.00000","A0A026VVE4;A0A026VVU9",";"
"GO:0008039","synaptic target recognition",77,4,0.62,237,"0.00341","1.00000","1.00000","A0A026WN66;A0A026WWS5;A0A026WWV0;A0A026WXR1",";;;"
"GO:0008037","cell recognition",187,6,1.51,127,"0.00393","0.57706","0.37037","A0A026VZR5;A0A026WMB6;A0A026WN66;A0A026WWS5;A0A026WWV0;A0A026WXR1",";;;;;"
"GO:0006766","vitamin metabolic process",12,2,0.1,238,"0.00403","1.00000","1.00000","A0A026WM97;A0A026WSS1",";"
"GO:0007485","imaginal disc-derived male genitalia dev...",40,3,0.32,239,"0.00404","1.00000","1.00000","A0A026VZR5;A0A026WF43;A0A026WV46",";;"
"GO:0045751","negative regulation of Toll signaling pa...",13,2,0.11,17,"0.00474","0.00474","0.00474","A0A026VZ76;A0A026WI68",";"
"GO:0006665","sphingolipid metabolic process",43,3,0.35,240,"0.00496","1.00000","1.00000","A0A026W6F6;A0A026WL55;A0A026WYH3",";;"
"GO:0046661","male sex differentiation",44,3,0.36,241,"0.00529","1.00000","1.00000","A0A026VZR5;A0A026WF43;A0A026WV46",";;"
"GO:0009057","macromolecule catabolic process",564,11,4.56,242,"0.00534","1.00000","0.74891","A0A026VWQ3;A0A026W2Z6;A0A026W5E2;A0A026WMB6;A0A026WSE1;A0A026WT37;A0A026WT83;A0A026WUA2;A0A026WYV1;A0A026X0X3;A0A026X1V9",";;;serp;;;;;;;"
"GO:0006879","cellular iron ion homeostasis",14,2,0.11,243,"0.00550","1.00000","1.00000","A0A026VVE4;A0A026VVU9",";"
"GO:0007484","imaginal disc-derived genitalia developm...",45,3,0.36,244,"0.00564","1.00000","1.00000","A0A026VZR5;A0A026WF43;A0A026WV46",";;"
"GO:0017144","drug metabolic process",273,7,2.21,148,"0.00637","0.80054","0.80054","A0A026VWQ3;A0A026W5E2;A0A026WM97;A0A026WT37;A0A026WT83;A0A026WUA2;A0A026WYV1",";serp;;;;;"
"GO:0005975","carbohydrate metabolic process",209,6,1.69,245,"0.00673","1.00000","0.07152","A0A026VXZ2;A0A026WKS8;A0A026WSS1;A0A026WTW5;A0A026WYH3;A0A026X2U9",";;;;;"
"GO:0019318","hexose metabolic process",48,3,0.39,246,"0.00675","1.00000","0.25994","A0A026VXZ2;A0A026WTW5;A0A026X2U9",";;"
"GO:0044248","cellular catabolic process",946,15,7.64,173,"0.00787","0.97555","0.61363","A0A026VWQ3;A0A026W0P7;A0A026W5E2;A0A026W6F6;A0A026WG66;A0A026WL55;A0A026WM97;A0A026WSE1;A0A026WT37;A0A026WT83;A0A026WUA2;A0A026WYH3;A0A026WYV1;A0A026X0X3;A0A026X1V9",";;;serp;;;;;;;;;;;"
"GO:0006664","glycolipid metabolic process",51,3,0.41,247,"0.00799","1.00000","1.00000","A0A026W6F6;A0A026WL55;A0A026WYH3",";;"
"GO:1903509","liposaccharide metabolic process",51,3,0.41,248,"0.00799","1.00000","1.00000","A0A026W6F6;A0A026WL55;A0A026WYH3",";;"
"GO:0010466","negative regulation of peptidase activit...",17,2,0.14,249,"0.00810","1.00000","1.00000","A0A026VZ76;A0A026WI68",";"
"GO:0010951","negative regulation of endopeptidase act...",17,2,0.14,18,"0.00810","0.00810","0.00810","A0A026VZ76;A0A026WI68",";"
"GO:0055072","iron ion homeostasis",18,2,0.15,250,"0.00906","1.00000","1.00000","A0A026VVE4;A0A026VVU9",";"
"GO:0098659","inorganic cation import across plasma me...",18,2,0.15,251,"0.00906","1.00000","1.00000","A0A026VVE4;A0A026VVU9",";"
"GO:0099587","inorganic ion import across plasma membr...",18,2,0.15,252,"0.00906","1.00000","1.00000","A0A026VVE4;A0A026VVU9",";"
"GO:0006826","iron ion transport",19,2,0.15,253,"0.01008","1.00000","1.00000","A0A026VVE4;A0A026VVU9",";"
"GO:0048806","genitalia development",56,3,0.45,254,"0.01034","1.00000","1.00000","A0A026VZR5;A0A026WF43;A0A026WV46",";;"
"GO:0008592","regulation of Toll signaling pathway",20,2,0.16,255,"0.01114","1.00000","1.00000","A0A026VZ76;A0A026WI68",";"
"GO:0042335","cuticle development",244,6,1.97,256,"0.01380","1.00000","1.00000","A0A026W5E2;A0A026WDF3;A0A026WEW7;A0A026WG30;A0A026WT17;A0A026WYV1",";;;;;"
"GO:0061057","peptidoglycan recognition protein signal...",23,2,0.19,66,"0.01460","0.11331","0.01460","A0A026W2Z6;A0A026W6F8",";"
"GO:0098542","defense response to other organism",323,7,2.61,257,"0.01520","1.00000","0.01520","A0A026VVE4;A0A026VZ76;A0A026W073;A0A026W2Z6;A0A026W6F8;A0A026W798;A0A026WMB6",";;;;;;"
"GO:0008038","neuron recognition",181,5,1.46,258,"0.01535","1.00000","0.71580","A0A026VZR5;A0A026WN66;A0A026WWS5;A0A026WWV0;A0A026WXR1",";;;;"
"GO:0018990","ecdysis, chitin-based cuticle",24,2,0.19,20,"0.01585","0.01585","0.01585","A0A026VWQ3;A0A026WYV1",";"
"GO:0048608","reproductive structure development",121,4,0.98,116,"0.01642","0.44540","0.52198","A0A026VY86;A0A026VZR5;A0A026WF43;A0A026WV46",";;;"
"GO:0061458","reproductive system development",121,4,0.98,259,"0.01642","1.00000","0.52198","A0A026VY86;A0A026VZR5;A0A026WF43;A0A026WV46",";;;"
"GO:0006952","defense response",329,7,2.66,260,"0.01666","1.00000","0.01666","A0A026VVE4;A0A026VZ76;A0A026W073;A0A026W2Z6;A0A026W6F8;A0A026W798;A0A026WMB6",";;;;;;"
"GO:0009636","response to toxic substance",187,5,1.51,138,"0.01744","0.68851","0.17627","A0A026VVE4;A0A026VVU9;A0A026VZR5;A0A026W073;A0A026WG66",";;;;"
"GO:0044242","cellular lipid catabolic process",68,3,0.55,261,"0.01745","1.00000","1.00000","A0A026W6F6;A0A026WL55;A0A026WYH3",";;"
"GO:0098739","import across plasma membrane",26,2,0.21,262,"0.01847","1.00000","1.00000","A0A026VVE4;A0A026VVU9",";"
"GO:0030203","glycosaminoglycan metabolic process",27,2,0.22,263,"0.01984","1.00000","1.00000","A0A026W2Z6;A0A026WMB6",";"
"GO:0034620","cellular response to unfolded protein",27,2,0.22,21,"0.01984","0.01984","0.01984","A0A026W6F6;A0A026WL55",";"
"GO:0006986","response to unfolded protein",28,2,0.23,264,"0.02126","1.00000","0.02126","A0A026W6F6;A0A026WL55",";"
"GO:0035296","regulation of tube diameter",28,2,0.23,265,"0.02126","1.00000","0.02126","A0A026VZR5;A0A026WF43",";"
"GO:0008362","chitin-based embryonic cuticle biosynthe...",29,2,0.23,266,"0.02272","1.00000","0.02272","A0A026WDF3;A0A026WG30",";"
"GO:0007275","multicellular organism development",3239,35,26.17,149,"0.02330","0.80067","0.57626","A0A026VVU9;A0A026VY86;A0A026VZ91;A0A026VZR5;A0A026W073;A0A026W3Q8;A0A026W4J5;A0A026W4U7;A0A026W5E2;A0A026W6F6;A0A026WBC2;A0A026WCB6;A0A026WDF3;A0A026WEW7;A0A026WF43;A0A026WG30;A0A026WG66;A0A026WG77;A0A026WH94;A0A026WI68;A0A026WL55;A0A026WN66;A0A026WSS1;A0A026WT17;A0A026WT37;A0A026WT83;A0A026WV46;A0A026WW33;A0A026WWS5;A0A026WWV0;A0A026WXR1;A0A026WYV1;A0A026X1V9;A0A026X3S9;A0A026X5F3",";;serp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
"GO:0000270","peptidoglycan metabolic process",3,1,0.02,267,"0.02404","1.00000","0.02404","A0A026W2Z6",""
"GO:0006013","mannose metabolic process",3,1,0.02,22,"0.02404","0.02404","0.02404","A0A026VXZ2",""
"GO:0009253","peptidoglycan catabolic process",3,1,0.02,268,"0.02404","1.00000","0.02404","A0A026W2Z6",""
"GO:0016137","glycoside metabolic process",3,1,0.02,269,"0.02404","1.00000","0.02404","A0A026WYH3",""
"GO:0016139","glycoside catabolic process",3,1,0.02,23,"0.02404","0.02404","0.02404","A0A026WYH3",""
"GO:0060575","intestinal epithelial cell differentiati...",3,1,0.02,24,"0.02404","0.02404","0.02404","A0A026X5F3",""
"GO:1903054","negative regulation of extracellular mat...",3,1,0.02,25,"0.02404","0.02404","0.02404","A0A026WG30",""
"GO:0035215","genital disc development",77,3,0.62,270,"0.02419","1.00000","1.00000","A0A026VZR5;A0A026WF43;A0A026WV46",";;"
"GO:0015988","energy coupled proton transmembrane tran...",30,2,0.24,26,"0.02421","0.02421","0.02421","A0A026W9I5;A0A026X3S9",";"
"GO:0044719","regulation of imaginal disc-derived wing...",31,2,0.25,27,"0.02575","0.02575","0.02575","A0A026WCB6;A0A026WSS1",";"
"GO:0046916","cellular transition metal ion homeostasi...",32,2,0.26,271,"0.02733","1.00000","1.00000","A0A026VVE4;A0A026VVU9",";"
"GO:0009617","response to bacterium",142,4,1.15,88,"0.02766","0.20399","0.02766","A0A026VZ76;A0A026W2Z6;A0A026W6F8;A0A026WMB6",";;;"
"GO:0000305","response to oxygen radical",4,1,0.03,28,"0.03193","0.03193","0.03193","A0A026WG66",""
"GO:0006117","acetaldehyde metabolic process",4,1,0.03,29,"0.03193","0.03193","0.03193","A0A026WM97",""
"GO:0006145","purine nucleobase catabolic process",4,1,0.03,272,"0.03193","1.00000","0.03193","A0A026WM97",""
"GO:0009115","xanthine catabolic process",4,1,0.03,30,"0.03193","0.03193","0.03193","A0A026WM97",""
"GO:0046110","xanthine metabolic process",4,1,0.03,273,"0.03193","1.00000","0.03193","A0A026WM97",""
"GO:0090255","cell proliferation involved in imaginal ...",4,1,0.03,274,"0.03193","1.00000","0.03193","A0A026WSS1",""
"GO:0090256","regulation of cell proliferation involve...",4,1,0.03,31,"0.03193","0.03193","0.03193","A0A026WSS1",""
"GO:1903430","negative regulation of cell maturation",4,1,0.03,32,"0.03193","0.03193","0.03193","A0A026VZR5",""
"GO:0006643","membrane lipid metabolic process",86,3,0.69,275,"0.03216","1.00000","1.00000","A0A026W6F6;A0A026WL55;A0A026WYH3",";;"
"GO:0034599","cellular response to oxidative stress",35,2,0.28,33,"0.03228","0.03228","0.03228","A0A026W073;A0A026WG66",";"
"GO:0098869","cellular oxidant detoxification",35,2,0.28,34,"0.03228","0.03228","0.03228","A0A026W073;A0A026WG66",";"
"GO:1990748","cellular detoxification",35,2,0.28,276,"0.03228","1.00000","0.03228","A0A026W073;A0A026WG66",";"
"GO:0048565","digestive tract development",150,4,1.21,277,"0.03291","1.00000","0.03291","A0A026VY86;A0A026W4U7;A0A026WF43;A0A026X5F3",";;;"
"GO:0055123","digestive system development",150,4,1.21,278,"0.03291","1.00000","0.03291","A0A026VY86;A0A026W4U7;A0A026WF43;A0A026X5F3",";;;"
"GO:0045861","negative regulation of proteolysis",36,2,0.29,279,"0.03400","1.00000","1.00000","A0A026VZ76;A0A026WI68",";"
"GO:0035967","cellular response to topologically incor...",37,2,0.3,280,"0.03576","1.00000","0.03576","A0A026W6F6;A0A026WL55",";"
"GO:0062197","cellular response to chemical stress",37,2,0.3,281,"0.03576","1.00000","0.03576","A0A026W073;A0A026WG66",";"
"GO:0016042","lipid catabolic process",91,3,0.74,282,"0.03710","1.00000","1.00000","A0A026W6F6;A0A026WL55;A0A026WYH3",";;"
"GO:0035966","response to topologically incorrect prot...",38,2,0.31,283,"0.03755","1.00000","0.03755","A0A026W6F6;A0A026WL55",";"
"GO:0051346","negative regulation of hydrolase activit...",38,2,0.31,284,"0.03755","1.00000","1.00000","A0A026VZ76;A0A026WI68",";"
"GO:0007496","anterior midgut development",5,1,0.04,36,"0.03976","0.03976","0.03976","A0A026X5F3",""
"GO:0009311","oligosaccharide metabolic process",40,2,0.32,83,"0.04124","0.20128","0.04124","A0A026WKS8;A0A026WYH3",";"
"GO:0016476","regulation of embryonic cell shape",40,2,0.32,37,"0.04124","0.04124","0.04124","A0A026VZ91;A0A026WV46",";"
"GO:0048546","digestive tract morphogenesis",95,3,0.77,100,"0.04133","0.27847","0.04133","A0A026VY86;A0A026W4U7;A0A026WF43",";;"
"GO:0002757","immune response-activating signal transd...",6,1,0.05,285,"0.04752","1.00000","0.04752","A0A026W798",""
"GO:0002758","innate immune response-activating signal...",6,1,0.05,38,"0.04752","0.04752","0.04752","A0A026W798",""
"GO:0033499","galactose catabolic process via UDP-gala...",6,1,0.05,39,"0.04752","0.04752","0.04752","A0A026X2U9",""
"GO:0042364","water-soluble vitamin biosynthetic proce...",6,1,0.05,286,"0.04752","1.00000","0.04752","A0A026WSS1",""
"GO:0042816","vitamin B6 metabolic process",6,1,0.05,287,"0.04752","1.00000","0.04752","A0A026WM97",""
"GO:0048010","vascular endothelial growth factor recep...",6,1,0.05,40,"0.04752","0.04752","0.04752","A0A026W4U7",""
"GO:2000683","regulation of cellular response to X-ray",6,1,0.05,41,"0.04752","0.04752","0.04752","A0A026W4U7",""
"GO:0007424","open tracheal system development",328,6,2.65,288,"0.04888","1.00000","1.00000","A0A026VZR5;A0A026W3Q8;A0A026WDF3;A0A026WG30;A0A026WT37;A0A026WT83","serp;;;;;"
"GO:0010038","response to metal ion",44,2,0.36,289,"0.04899","1.00000","1.00000","A0A026VVE4;A0A026VVU9",";"
"GO:0097237","cellular response to toxic substance",44,2,0.36,290,"0.04899","1.00000","0.04899","A0A026W073;A0A026WG66",";"
"GO:0035295","tube development",1083,14,8.75,151,"0.04984","0.80786","0.19408","A0A026VY86;A0A026VZR5;A0A026W4U7;A0A026W5E2;A0A026WBC2;A0A026WCB6;A0A026WF43;A0A026WG77;A0A026WH94;A0A026WI68;A0A026WSS1;A0A026WV46;A0A026X3S9;A0A026X5F3",";;;;;;;;;;;;;"
"GO:0008360","regulation of cell shape",104,3,0.84,115,"0.05168","0.43154","0.05168","A0A026VZ91;A0A026VZR5;A0A026WV46",";;"
"GO:0055076","transition metal ion homeostasis",46,2,0.37,291,"0.05306","1.00000","1.00000","A0A026VVE4;A0A026VVU9",";"
"GO:0070050","neuron cellular homeostasis",46,2,0.37,42,"0.05306","0.05306","0.05306","A0A026W6F6;A0A026WL55",";"
"GO:0008063","Toll signaling pathway",47,2,0.38,292,"0.05513","1.00000","1.00000","A0A026VZ76;A0A026WI68",";"
"GO:0002218","activation of innate immune response",7,1,0.06,293,"0.05522","1.00000","0.05522","A0A026W798",""
"GO:0009595","detection of biotic stimulus",7,1,0.06,294,"0.05522","1.00000","0.05522","A0A026W798",""
"GO:0022617","extracellular matrix disassembly",7,1,0.06,44,"0.05522","0.05522","0.05522","A0A026WG30",""
"GO:0098581","detection of external biotic stimulus",7,1,0.06,45,"0.05522","0.05522","0.05522","A0A026W798",""
"GO:0007614","short-term memory",48,2,0.39,46,"0.05724","0.05724","0.05724","A0A026VZR5;A0A026X3S9",";"
