"GO.ID","Term","Annotated","Significant","Expected","Rank in result2","result1","result2","result3","GenesInTermAndTest","GenesInTermAndTest_eggNogName"
"GO:1901135","carbohydrate derivative metabolic proces...",601,13,4.9,250,"0.00105","1.00000","0.90800","A0A026VXZ2;A0A026W0Q1;A0A026W2Z6;A0A026W5E2;A0A026WG72;A0A026WL55;A0A026WMB6;A0A026WT37;A0A026WU73;A0A026WUA2;A0A026WYH3;A0A026WYV1;A0A026X0M9",";Hexo1;;Cht3;;ATPsynbeta;;Cht5;;verm;Fuca;;"
"GO:0098754","detoxification",56,4,0.46,251,"0.00109","1.00000","0.06623","A0A026VVE4;A0A026VVU9;A0A026W073;A0A026WG66","TrxT;Sod;Fer1HCH;Fer2LCH"
"GO:0048803","imaginal disc-derived male genitalia mor...",27,3,0.22,16,"0.00132","0.00132","0.00132","A0A026VZR5;A0A026WF43;A0A026WV46",";Fas2;"
"GO:0033212","iron import into cell",7,2,0.06,252,"0.00134","1.00000","1.00000","A0A026VVE4;A0A026VVU9","Fer1HCH;Fer2LCH"
"GO:0035126","post-embryonic genitalia morphogenesis",28,3,0.23,253,"0.00147","1.00000","1.00000","A0A026VZR5;A0A026WF43;A0A026WV46",";Fas2;"
"GO:0048805","imaginal disc-derived genitalia morphoge...",28,3,0.23,254,"0.00147","1.00000","1.00000","A0A026VZR5;A0A026WF43;A0A026WV46",";Fas2;"
"GO:0030149","sphingolipid catabolic process",8,2,0.07,255,"0.00178","1.00000","1.00000","A0A026WL55;A0A026WYH3",";"
"GO:0046466","membrane lipid catabolic process",8,2,0.07,256,"0.00178","1.00000","1.00000","A0A026WL55;A0A026WYH3",";"
"GO:0048808","male genitalia morphogenesis",31,3,0.25,257,"0.00199","1.00000","1.00000","A0A026VZR5;A0A026WF43;A0A026WV46",";Fas2;"
"GO:0007483","genital disc morphogenesis",32,3,0.26,258,"0.00218","1.00000","1.00000","A0A026VZR5;A0A026WF43;A0A026WV46",";Fas2;"
"GO:0090598","male anatomical structure morphogenesis",33,3,0.27,259,"0.00238","1.00000","1.00000","A0A026VZR5;A0A026WF43;A0A026WV46",";Fas2;"
"GO:0035112","genitalia morphogenesis",34,3,0.28,260,"0.00260","1.00000","1.00000","A0A026VZR5;A0A026WF43;A0A026WV46",";Fas2;"
"GO:0051238","sequestering of metal ion",10,2,0.08,261,"0.00283","1.00000","1.00000","A0A026VVE4;A0A026VVU9","Fer1HCH;Fer2LCH"
"GO:0030539","male genitalia development",37,3,0.3,262,"0.00332","1.00000","1.00000","A0A026VZR5;A0A026WF43;A0A026WV46",";Fas2;"
"GO:0034755","iron ion transmembrane transport",11,2,0.09,263,"0.00344","1.00000","1.00000","A0A026VVE4;A0A026VVU9","Fer1HCH;Fer2LCH"
"GO:0045861","negative regulation of proteolysis",38,3,0.31,264,"0.00358","1.00000","1.00000","A0A026WI68;A0A026WJG2;A0A026WPM3",";SRPN3;TFPI"
"GO:0009311","oligosaccharide metabolic process",39,3,0.32,73,"0.00385","0.16135","0.00385","A0A026WKS8;A0A026WYH3;A0A026X326","Mal-A3;;TREH"
"GO:0008039","synaptic target recognition",79,4,0.64,265,"0.00386","1.00000","1.00000","A0A026WN66;A0A026WWS5;A0A026WWV0;A0A026WXR1",";;;"
"GO:0008037","cell recognition",186,6,1.52,151,"0.00401","0.58117","0.37272","A0A026VZR5;A0A026WMB6;A0A026WN66;A0A026WWS5;A0A026WWV0;A0A026WXR1",";;Fas2;;;Fuca"
"GO:0009057","macromolecule catabolic process",618,12,5.04,181,"0.00407","0.83557","0.44703","A0A026VTG8;A0A026W0Q1;A0A026W0S2;A0A026W2Z6;A0A026W5E2;A0A026WMB6;A0A026WSE1;A0A026WT37;A0A026WUA2;A0A026WYV1;A0A026X0X3;A0A026X1V9","Hexo1;Cht3;;;;Cht5;;;verm;SETMAR;;Fuca"
"GO:0007485","imaginal disc-derived male genitalia dev...",40,3,0.33,266,"0.00414","1.00000","1.00000","A0A026VZR5;A0A026WF43;A0A026WV46",";Fas2;"
"GO:0032102","negative regulation of response to exter...",40,3,0.33,17,"0.00414","0.00414","0.00414","A0A026W2Z6;A0A026WJG2;A0A026WPM3",";SRPN3;TFPI"
"GO:0051346","negative regulation of hydrolase activit...",40,3,0.33,267,"0.00414","1.00000","1.00000","A0A026WI68;A0A026WJG2;A0A026WPM3",";SRPN3;TFPI"
"GO:0035152","regulation of tube architecture, open tr...",133,5,1.08,268,"0.00451","1.00000","1.00000","A0A026VZR5;A0A026W3Q8;A0A026WDF3;A0A026WG30;A0A026WT37",";Fas2;verm;;Cpap3-a1"
"GO:0007599","hemostasis",13,2,0.11,18,"0.00482","0.00482","0.00482","A0A026VVE4;A0A026WJG2","TFPI;Fer2LCH"
"GO:0050817","coagulation",13,2,0.11,19,"0.00482","0.00482","0.00482","A0A026VVE4;A0A026WJG2","TFPI;Fer2LCH"
"GO:0098659","inorganic cation import across plasma me...",13,2,0.11,269,"0.00482","1.00000","1.00000","A0A026VVE4;A0A026VVU9","Fer1HCH;Fer2LCH"
"GO:0099587","inorganic ion import across plasma membr...",13,2,0.11,270,"0.00482","1.00000","1.00000","A0A026VVE4;A0A026VVU9","Fer1HCH;Fer2LCH"
"GO:0009636","response to toxic substance",195,6,1.59,126,"0.00505","0.34269","0.06627","A0A026VVE4;A0A026VVU9;A0A026VZR5;A0A026W073;A0A026WG66;A0A026WPM3","Fas2;SRPN3;TrxT;Sod;Fer1HCH;Fer2LCH"
"GO:0006879","cellular iron ion homeostasis",14,2,0.11,271,"0.00560","1.00000","1.00000","A0A026VVE4;A0A026VVU9","Fer1HCH;Fer2LCH"
"GO:0007484","imaginal disc-derived genitalia developm...",45,3,0.37,272,"0.00578","1.00000","1.00000","A0A026VZR5;A0A026WF43;A0A026WV46",";Fas2;"
"GO:0044248","cellular catabolic process",1003,16,8.17,203,"0.00628","0.95163","0.26807","A0A026VTG8;A0A026W0P7;A0A026W0Q1;A0A026W0S2;A0A026W5E2;A0A026WG66;A0A026WL55;A0A026WM97;A0A026WSE1;A0A026WT37;A0A026WUA2;A0A026WYH3;A0A026WYV1;A0A026X0X3;A0A026X1V9;A0A026X326","Hexo1;;Cht3;;;Cht5;;;;verm;SETMAR;;;Sod;TREH;"
"GO:0006687","glycosphingolipid metabolic process",15,2,0.12,273,"0.00643","1.00000","1.00000","A0A026WL55;A0A026WYH3",";"
"GO:0006672","ceramide metabolic process",16,2,0.13,274,"0.00731","1.00000","1.00000","A0A026WL55;A0A026WYH3",";"
"GO:0046661","male sex differentiation",49,3,0.4,275,"0.00733","1.00000","1.00000","A0A026VZR5;A0A026WF43;A0A026WV46",";Fas2;"
"GO:0055072","iron ion homeostasis",18,2,0.15,276,"0.00922","1.00000","1.00000","A0A026VVE4;A0A026VVU9","Fer1HCH;Fer2LCH"
"GO:0009611","response to wounding",159,5,1.3,121,"0.00948","0.32025","0.00948","A0A026VVE4;A0A026W5E2;A0A026WJG2;A0A026WPM3;A0A026WYV1",";Cht5;SRPN3;TFPI;Fer2LCH"
"GO:0098542","defense response to other organism",365,8,2.97,277,"0.00951","1.00000","0.00951","A0A026VVE4;A0A026W073;A0A026W1A5;A0A026W2Z6;A0A026W6F8;A0A026W798;A0A026WMB6;A0A026WPM3",";GNBP3;;SRPN3;TrxT;Fuca;;Fer2LCH"
"GO:0045824","negative regulation of innate immune res...",19,2,0.15,278,"0.01025","1.00000","0.01025","A0A026W2Z6;A0A026WPM3",";SRPN3"
"GO:0006952","defense response",371,8,3.02,143,"0.01043","0.54122","1.00000","A0A026VVE4;A0A026W073;A0A026W1A5;A0A026W2Z6;A0A026W6F8;A0A026W798;A0A026WMB6;A0A026WPM3",";GNBP3;;SRPN3;TrxT;Fuca;;Fer2LCH"
"GO:0009617","response to bacterium",164,5,1.34,30,"0.01075","0.03760","0.01075","A0A026W1A5;A0A026W6F8;A0A026WJG2;A0A026WMB6;A0A026X3N5",";Fuca;;;TFPI"
"GO:0048806","genitalia development",57,3,0.46,279,"0.01111","1.00000","1.00000","A0A026VZR5;A0A026WF43;A0A026WV46",";Fas2;"
"GO:0006826","iron ion transport",21,2,0.17,280,"0.01245","1.00000","1.00000","A0A026VVE4;A0A026VVU9","Fer1HCH;Fer2LCH"
"GO:0052548","regulation of endopeptidase activity",60,3,0.49,281,"0.01277","1.00000","1.00000","A0A026WI68;A0A026WJG2;A0A026WPM3",";SRPN3;TFPI"
"GO:0017144","drug metabolic process",311,7,2.53,150,"0.01318","0.58094","0.58094","A0A026W0Q1;A0A026W5E2;A0A026WM97;A0A026WT37;A0A026WUA2;A0A026WYV1;A0A026X0M9","Hexo1;Cht3;ATPsynbeta;;Cht5;verm;"
"GO:0042060","wound healing",114,4,0.93,20,"0.01386","0.01386","0.01386","A0A026VVE4;A0A026W5E2;A0A026WJG2;A0A026WYV1",";Cht5;TFPI;Fer2LCH"
"GO:0035159","regulation of tube length, open tracheal...",62,3,0.51,282,"0.01395","1.00000","0.01395","A0A026VZR5;A0A026W3Q8;A0A026WT37","Fas2;verm;"
"GO:0098739","import across plasma membrane",23,2,0.19,283,"0.01485","1.00000","1.00000","A0A026VVE4;A0A026VVU9","Fer1HCH;Fer2LCH"
"GO:0008038","neuron recognition",180,5,1.47,284,"0.01557","1.00000","0.71743","A0A026VZR5;A0A026WN66;A0A026WWS5;A0A026WWV0;A0A026WXR1",";;Fas2;;"
"GO:0005984","disaccharide metabolic process",24,2,0.2,285,"0.01611","1.00000","0.01611","A0A026WKS8;A0A026X326","Mal-A3;TREH"
"GO:0045088","regulation of innate immune response",66,3,0.54,286,"0.01650","1.00000","0.01650","A0A026W2Z6;A0A026W798;A0A026WPM3",";GNBP3;SRPN3"
"GO:0052547","regulation of peptidase activity",67,3,0.55,287,"0.01717","1.00000","1.00000","A0A026WI68;A0A026WJG2;A0A026WPM3",";SRPN3;TFPI"
"GO:0008362","chitin-based embryonic cuticle biosynthe...",26,2,0.21,288,"0.01877","1.00000","0.01877","A0A026WDF3;A0A026WG30",";Cpap3-a1"
"GO:0042335","cuticle development",261,6,2.13,289,"0.01944","1.00000","1.00000","A0A026W1A3;A0A026W5E2;A0A026WDF3;A0A026WG30;A0A026WT17;A0A026WYV1",";Cht5;;;Cpap3-a1;"
"GO:0030203","glycosaminoglycan metabolic process",27,2,0.22,290,"0.02017","1.00000","1.00000","A0A026W2Z6;A0A026WMB6",";Fuca"
"GO:0048608","reproductive structure development",131,4,1.07,140,"0.02196","0.48694","0.56194","A0A026VY86;A0A026VZR5;A0A026WF43;A0A026WV46",";Fas2;;"
"GO:0061458","reproductive system development",131,4,1.07,291,"0.02196","1.00000","0.56194","A0A026VY86;A0A026VZR5;A0A026WF43;A0A026WV46",";Fas2;;"
"GO:0050878","regulation of body fluid levels",29,2,0.24,292,"0.02309","1.00000","1.00000","A0A026VVE4;A0A026WJG2","TFPI;Fer2LCH"
"GO:0000270","peptidoglycan metabolic process",3,1,0.02,293,"0.02425","1.00000","0.02425","A0A026W2Z6",""
"GO:0000303","response to superoxide",3,1,0.02,294,"0.02425","1.00000","0.02425","A0A026WG66","Sod"
"GO:0005993","trehalose catabolic process",3,1,0.02,21,"0.02425","0.02425","0.02425","A0A026X326","TREH"
"GO:0009253","peptidoglycan catabolic process",3,1,0.02,295,"0.02425","1.00000","0.02425","A0A026W2Z6",""
"GO:0009313","oligosaccharide catabolic process",3,1,0.02,296,"0.02425","1.00000","0.02425","A0A026X326","TREH"
"GO:0016137","glycoside metabolic process",3,1,0.02,297,"0.02425","1.00000","0.02425","A0A026WYH3",""
"GO:0016139","glycoside catabolic process",3,1,0.02,22,"0.02425","0.02425","0.02425","A0A026WYH3",""
"GO:0019430","removal of superoxide radicals",3,1,0.02,23,"0.02425","0.02425","0.02425","A0A026WG66","Sod"
"GO:0046352","disaccharide catabolic process",3,1,0.02,298,"0.02425","1.00000","0.02425","A0A026X326","TREH"
"GO:0060575","intestinal epithelial cell differentiati...",3,1,0.02,24,"0.02425","0.02425","0.02425","A0A026X5F3",""
"GO:0071450","cellular response to oxygen radical",3,1,0.02,299,"0.02425","1.00000","0.02425","A0A026WG66","Sod"
"GO:0071451","cellular response to superoxide",3,1,0.02,300,"0.02425","1.00000","0.02425","A0A026WG66","Sod"
"GO:1903054","negative regulation of extracellular mat...",3,1,0.02,25,"0.02425","0.02425","0.02425","A0A026WG30","Cpap3-a1"
"GO:0035296","regulation of tube diameter",30,2,0.24,301,"0.02461","1.00000","0.02461","A0A026VZR5;A0A026WF43","Fas2;"
"GO:0031348","negative regulation of defense response",31,2,0.25,302,"0.02617","1.00000","0.02617","A0A026W2Z6;A0A026WPM3",";SRPN3"
"GO:0046916","cellular transition metal ion homeostasi...",31,2,0.25,303,"0.02617","1.00000","1.00000","A0A026VVE4;A0A026VVU9","Fer1HCH;Fer2LCH"
"GO:0090066","regulation of anatomical structure size",358,7,2.92,304,"0.02632","1.00000","0.63412","A0A026VZR5;A0A026W3Q8;A0A026WCB6;A0A026WDF3;A0A026WF43;A0A026WG30;A0A026WT37",";Fas2;verm;;Cpap3-a1;;"
"GO:0005975","carbohydrate metabolic process",209,5,1.7,305,"0.02764","1.00000","0.38822","A0A026VXZ2;A0A026WKS8;A0A026WYH3;A0A026X2U9;A0A026X326","Mal-A3;;;TREH;"
"GO:0035215","genital disc development",81,3,0.66,306,"0.02821","1.00000","1.00000","A0A026VZR5;A0A026WF43;A0A026WV46",";Fas2;"
"GO:0002832","negative regulation of response to bioti...",33,2,0.27,307,"0.02940","1.00000","0.02940","A0A026W2Z6;A0A026WPM3",";SRPN3"
"GO:0002238","response to molecule of fungal origin",4,1,0.03,308,"0.03220","1.00000","0.03220","A0A026W798","GNBP3"
"GO:0006117","acetaldehyde metabolic process",4,1,0.03,26,"0.03220","0.03220","0.03220","A0A026WM97",""
"GO:0006145","purine nucleobase catabolic process",4,1,0.03,309,"0.03220","1.00000","0.03220","A0A026WM97",""
"GO:0009115","xanthine catabolic process",4,1,0.03,27,"0.03220","0.03220","0.03220","A0A026WM97",""
"GO:0009595","detection of biotic stimulus",4,1,0.03,310,"0.03220","1.00000","0.03220","A0A026W798","GNBP3"
"GO:0032491","detection of molecule of fungal origin",4,1,0.03,28,"0.03220","0.03220","0.03220","A0A026W798","GNBP3"
"GO:0035009","negative regulation of melanization defe...",4,1,0.03,311,"0.03220","1.00000","0.03220","A0A026WPM3","SRPN3"
"GO:0046110","xanthine metabolic process",4,1,0.03,312,"0.03220","1.00000","0.03220","A0A026WM97",""
"GO:0098581","detection of external biotic stimulus",4,1,0.03,313,"0.03220","1.00000","0.03220","A0A026W798","GNBP3"
"GO:1903430","negative regulation of cell maturation",4,1,0.03,29,"0.03220","0.03220","0.03220","A0A026VZR5","Fas2"
"GO:0050777","negative regulation of immune response",36,2,0.29,314,"0.03454","1.00000","0.03454","A0A026W2Z6;A0A026WPM3",";SRPN3"
"GO:0098869","cellular oxidant detoxification",37,2,0.3,99,"0.03632","0.24058","0.03632","A0A026W073;A0A026WG66","TrxT;Sod"
"GO:1990748","cellular detoxification",37,2,0.3,315,"0.03632","1.00000","0.03632","A0A026W073;A0A026WG66","TrxT;Sod"
"GO:0048565","digestive tract development",155,4,1.26,316,"0.03750","1.00000","0.03750","A0A026VY86;A0A026W4U7;A0A026WF43;A0A026X5F3",";;Pvf1;"
"GO:0055123","digestive system development",155,4,1.26,317,"0.03750","1.00000","0.03750","A0A026VY86;A0A026W4U7;A0A026WF43;A0A026X5F3",";;Pvf1;"
"GO:0016476","regulation of embryonic cell shape",38,2,0.31,31,"0.03814","0.03814","0.03814","A0A026VZ91;A0A026WV46",";"
"GO:1901564","organonitrogen compound metabolic proces...",3313,35,26.99,318,"0.03918","1.00000","0.99637","A0A026VTG8;A0A026VU23;A0A026VWE0;A0A026VXZ2;A0A026W0P7;A0A026W0Q1;A0A026W0S2;A0A026W1C7;A0A026W2Z6;A0A026W4U7;A0A026W5E2;A0A026WDK1;A0A026WEB2;A0A026WFP0;A0A026WG72;A0A026WH69;A0A026WI06;A0A026WI68;A0A026WJG2;A0A026WJK5;A0A026WJN5;A0A026WL55;A0A026WM97;A0A026WMB6;A0A026WPF7;A0A026WPM3;A0A026WSC7;A0A026WSE1;A0A026WT37;A0A026WU73;A0A026WUA2;A0A026WYH3;A0A026WYV1;A0A026X0M9;A0A026X3N5",";Hexo1;;;Cht3;;;;;ATPsynbeta;;Cht5;;;Nep2;;;verm;;;SETMAR;;SRPN3;;Pvf1;;Fuca;Ppib;;;;TFPI;;;"
"GO:0009100","glycoprotein metabolic process",158,4,1.29,319,"0.03980","1.00000","0.67630","A0A026VXZ2;A0A026W0Q1;A0A026WG72;A0A026WU73",";Hexo1;;"
"GO:0034599","cellular response to oxidative stress",39,2,0.32,103,"0.04000","0.25280","0.04000","A0A026W073;A0A026WG66","TrxT;Sod"
"GO:0000305","response to oxygen radical",5,1,0.04,320,"0.04009","1.00000","0.04009","A0A026WG66","Sod"
"GO:0002220","innate immune response activating cell s...",5,1,0.04,321,"0.04009","1.00000","0.04009","A0A026W798","GNBP3"
"GO:0002429","immune response-activating cell surface ...",5,1,0.04,322,"0.04009","1.00000","0.04009","A0A026W798","GNBP3"
