"GO.ID","Term","Annotated","Significant","Expected","Rank in result2","result1","result2","result3","GenesInTermAndTest","GenesInTermAndTest_eggNogName"
"GO:0008235","metalloexopeptidase activity",16,3,0.13,5,"0.00029","0.00029","0.07818","A0A026W0P7;A0A026WH69;A0A026WMA6",";;"
"GO:0004867","serine-type endopeptidase inhibitor acti...",4,2,0.03,6,"0.00041","0.00041","0.00041","A0A026VZ76;A0A026WI68",";"
"GO:0015925","galactosidase activity",4,2,0.03,79,"0.00041","1.00000","0.00041","A0A026WTW5;A0A026WYH3",";"
"GO:0008239","dipeptidyl-peptidase activity",18,3,0.15,80,"0.00042","1.00000","0.00042","A0A026WEB2;A0A026WPF7;A0A026WSC7",";;"
"GO:0003824","catalytic activity",3325,41,27.8,70,"0.00062","0.99997","0.67357","A0A026VU23;A0A026VWE0;A0A026VWQ3;A0A026VXZ2;A0A026W073;A0A026W0P7;A0A026W0Q1;A0A026W1C7;A0A026W2Z6;A0A026W4J5;A0A026W5E2;A0A026W656;A0A026W6F6;A0A026WDB2;A0A026WDK1;A0A026WEB2;A0A026WFP0;A0A026WG66;A0A026WG72;A0A026WGA6;A0A026WH69;A0A026WI06;A0A026WIQ8;A0A026WKS8;A0A026WL55;A0A026WM97;A0A026WMA6;A0A026WMB6;A0A026WPF7;A0A026WPJ5;A0A026WSC7;A0A026WSE1;A0A026WSH9;A0A026WSS1;A0A026WT37;A0A026WT83;A0A026WTW5;A0A026WUA2;A0A026WYH3;A0A026WYV1;A0A026X2U9",";;;;;;;;serp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
"GO:0001530","lipopolysaccharide binding",5,2,0.04,7,"0.00068","0.00068","0.00068","A0A026W6F8;A0A026W798",";"
"GO:0004181","metallocarboxypeptidase activity",6,2,0.05,81,"0.00101","1.00000","0.00101","A0A026WH69;A0A026WMA6",";"
"GO:0008237","metallopeptidase activity",58,4,0.49,82,"0.00134","1.00000","0.06615","A0A026W0P7;A0A026W1C7;A0A026WH69;A0A026WMA6",";;;"
"GO:0003993","acid phosphatase activity",7,2,0.06,8,"0.00141","0.00141","0.00141","A0A026WGA6;A0A026WSH9",";"
"GO:0004180","carboxypeptidase activity",7,2,0.06,83,"0.00141","1.00000","1.00000","A0A026WH69;A0A026WMA6",";"
"GO:0004099","chitin deacetylase activity",8,2,0.07,9,"0.00187","0.00187","0.00187","A0A026WT37;A0A026WT83","serp;"
"GO:0005214","structural constituent of chitin-based c...",31,3,0.26,10,"0.00212","0.00212","0.00212","A0A026VWV8;A0A026WEW7;A0A026WT17",";;"
"GO:0042302","structural constituent of cuticle",31,3,0.26,84,"0.00212","1.00000","1.00000","A0A026VWV8;A0A026WEW7;A0A026WT17",";;"
"GO:0030246","carbohydrate binding",32,3,0.27,11,"0.00233","0.00233","0.00233","A0A026W798;A0A026WID6;A0A026WMB6",";;"
"GO:0042834","peptidoglycan binding",9,2,0.08,12,"0.00239","0.00239","0.00239","A0A026W2Z6;A0A026W6F8",";"
"GO:0005539","glycosaminoglycan binding",38,3,0.32,85,"0.00382","1.00000","0.21060","A0A026W2Z6;A0A026W4U7;A0A026W6F8",";;"
"GO:0016810","hydrolase activity, acting on carbon-nit...",78,4,0.65,56,"0.00399","0.41660","0.11004","A0A026W2Z6;A0A026WPJ5;A0A026WT37;A0A026WT83",";serp;;"
"GO:0005201","extracellular matrix structural constitu...",12,2,0.1,13,"0.00430","0.00430","0.00430","A0A026WF43;A0A026X0F2",";"
"GO:0008198","ferrous iron binding",13,2,0.11,14,"0.00506","0.00506","0.00506","A0A026VVE4;A0A026VVU9",";"
"GO:0016811","hydrolase activity, acting on carbon-nit...",44,3,0.37,86,"0.00578","1.00000","0.25447","A0A026W2Z6;A0A026WT37;A0A026WT83",";serp;"
"GO:0015923","mannosidase activity",14,2,0.12,87,"0.00587","1.00000","0.00587","A0A026VXZ2;A0A026WIQ8",";"
"GO:0004866","endopeptidase inhibitor activity",17,2,0.14,88,"0.00863","1.00000","1.00000","A0A026VZ76;A0A026WI68",";"
"GO:0030414","peptidase inhibitor activity",17,2,0.14,89,"0.00863","1.00000","1.00000","A0A026VZ76;A0A026WI68",";"
"GO:0004252","serine-type endopeptidase activity",52,3,0.43,15,"0.00920","0.00920","0.00920","A0A026VWE0;A0A026WFP0;A0A026WI06",";;"
"GO:0004175","endopeptidase activity",155,5,1.3,57,"0.00931","0.42836","0.19985","A0A026VWE0;A0A026W1C7;A0A026WFP0;A0A026WI06;A0A026WSE1",";;;;"
"GO:0061135","endopeptidase regulator activity",19,2,0.16,90,"0.01074","1.00000","1.00000","A0A026VZ76;A0A026WI68",";"
"GO:0070851","growth factor receptor binding",19,2,0.16,16,"0.01074","0.01074","0.01074","A0A026W4U7;A0A026W5E2",";"
"GO:0008236","serine-type peptidase activity",61,3,0.51,91,"0.01421","1.00000","1.00000","A0A026VWE0;A0A026WFP0;A0A026WI06",";;"
"GO:0017171","serine hydrolase activity",65,3,0.54,92,"0.01685","1.00000","1.00000","A0A026VWE0;A0A026WFP0;A0A026WI06",";;"
"GO:0019213","deacetylase activity",24,2,0.2,93,"0.01687","1.00000","1.00000","A0A026WT37;A0A026WT83","serp;"
"GO:0005506","iron ion binding",25,2,0.21,94,"0.01824","1.00000","1.00000","A0A026VVE4;A0A026VVU9",";"
"GO:0061134","peptidase regulator activity",27,2,0.23,95,"0.02112","1.00000","1.00000","A0A026VZ76;A0A026WI68",";"
"GO:0004557","alpha-galactosidase activity",3,1,0.03,96,"0.02488","1.00000","0.02488","A0A026WYH3",""
"GO:0004560","alpha-L-fucosidase activity",3,1,0.03,17,"0.02488","0.02488","0.02488","A0A026WMB6",""
"GO:0008745","N-acetylmuramoyl-L-alanine amidase activ...",3,1,0.03,18,"0.02488","0.02488","0.02488","A0A026W2Z6",""
"GO:0015928","fucosidase activity",3,1,0.03,97,"0.02488","1.00000","0.02488","A0A026WMB6",""
"GO:0030247","polysaccharide binding",3,1,0.03,98,"0.02488","1.00000","0.02488","A0A026W798",""
"GO:0030882","lipid antigen binding",3,1,0.03,19,"0.02488","0.02488","0.02488","A0A026W6F8",""
"GO:0038187","pattern recognition receptor activity",3,1,0.03,20,"0.02488","0.02488","0.02488","A0A026W798",""
"GO:0047134","protein-disulfide reductase activity",3,1,0.03,21,"0.02488","0.02488","0.02488","A0A026W073",""
"GO:0061783","peptidoglycan muralytic activity",3,1,0.03,99,"0.02488","1.00000","0.02488","A0A026W2Z6",""
"GO:0070891","lipoteichoic acid binding",3,1,0.03,22,"0.02488","0.02488","0.02488","A0A026W6F8",""
"GO:0004854","xanthine dehydrogenase activity",4,1,0.03,23,"0.03304","0.03304","0.03304","A0A026WM97",""
"GO:0016618","hydroxypyruvate reductase activity",4,1,0.03,24,"0.03304","0.03304","0.03304","A0A026WDB2",""
"GO:0016726","oxidoreductase activity, acting on CH or...",4,1,0.03,100,"0.03304","1.00000","0.03304","A0A026WM97",""
"GO:0030267","glyoxylate reductase (NADP) activity",4,1,0.03,25,"0.03304","0.03304","0.03304","A0A026WDB2",""
"GO:0016209","antioxidant activity",35,2,0.29,26,"0.03431","0.03431","0.03431","A0A026W073;A0A026WG66",";"
"GO:0004791","thioredoxin-disulfide reductase activity",5,1,0.04,101,"0.04113","1.00000","0.04113","A0A026W073",""
"GO:0008084","imaginal disc growth factor receptor bin...",5,1,0.04,102,"0.04113","1.00000","0.04113","A0A026W5E2",""
"GO:0015035","protein disulfide oxidoreductase activit...",5,1,0.04,27,"0.04113","0.04113","0.04113","A0A026W073",""
"GO:0016671","oxidoreductase activity, acting on a sul...",5,1,0.04,28,"0.04113","0.04113","0.04113","A0A026W073",""
"GO:0004034","aldose 1-epimerase activity",6,1,0.05,29,"0.04915","0.04915","0.04915","A0A026X2U9",""
"GO:0004035","alkaline phosphatase activity",6,1,0.05,30,"0.04915","0.04915","0.04915","A0A026W4J5",""
"GO:0004563","beta-N-acetylhexosaminidase activity",6,1,0.05,103,"0.04915","1.00000","0.04915","A0A026W0Q1",""
"GO:0016231","beta-N-acetylglucosaminidase activity",6,1,0.05,31,"0.04915","0.04915","0.04915","A0A026W0Q1",""
"GO:0016668","oxidoreductase activity, acting on a sul...",6,1,0.05,104,"0.04915","1.00000","0.04915","A0A026W073",""
"GO:0019840","isoprenoid binding",6,1,0.05,32,"0.04915","0.04915","0.04915","A0A026W5F4",""
"GO:0003823","antigen binding",8,1,0.07,105,"0.06500","1.00000","0.06500","A0A026W6F8",""
"GO:0015929","hexosaminidase activity",8,1,0.07,106,"0.06500","1.00000","0.06500","A0A026W0Q1",""
"GO:0004857","enzyme inhibitor activity",51,2,0.43,107,"0.06756","1.00000","1.00000","A0A026VZ76;A0A026WI68",";"
"GO:0004500","dopamine beta-monooxygenase activity",10,1,0.08,33,"0.08059","0.08059","0.08059","A0A026WDK1",""
"GO:0016715","oxidoreductase activity, acting on paire...",10,1,0.08,108,"0.08059","1.00000","0.08059","A0A026WDK1",""
"GO:0016725","oxidoreductase activity, acting on CH or...",10,1,0.08,109,"0.08059","1.00000","0.08059","A0A026WM97",""
"GO:0016857","racemase and epimerase activity, acting ...",10,1,0.08,110,"0.08059","1.00000","0.08059","A0A026X2U9",""
"GO:0070006","metalloaminopeptidase activity",10,1,0.08,111,"0.08059","1.00000","0.08059","A0A026W0P7",""
"GO:0004571","mannosyl-oligosaccharide 1,2-alpha-manno...",11,1,0.09,34,"0.08829","0.08829","0.08829","A0A026VXZ2",""
"GO:0015924","mannosyl-oligosaccharide mannosidase act...",11,1,0.09,112,"0.08829","1.00000","0.08829","A0A026VXZ2",""
"GO:0031406","carboxylic acid binding",11,1,0.09,35,"0.08829","0.08829","0.08829","A0A026W5F4",""
"GO:0043177","organic acid binding",11,1,0.09,113,"0.08829","1.00000","0.08829","A0A026W5F4",""
"GO:0004559","alpha-mannosidase activity",12,1,0.1,114,"0.09592","1.00000","0.09592","A0A026VXZ2",""
"GO:0016854","racemase and epimerase activity",12,1,0.1,115,"0.09592","1.00000","0.09592","A0A026X2U9",""
"GO:0046872","metal ion binding",389,6,3.25,62,"0.10515","0.74570","0.36412","A0A026VVE4;A0A026VVU9;A0A026W0P7;A0A026WG66;A0A026WKW2;A0A026WSS1",";;;;;"
"GO:0043167","ion binding",678,9,5.67,66,"0.10951","0.94467","0.29228","A0A026VVE4;A0A026VVU9;A0A026W0P7;A0A026W4U7;A0A026W5F4;A0A026WG66;A0A026WKW2;A0A026WM97;A0A026WSS1",";;;;;;;;"
"GO:0015036","disulfide oxidoreductase activity",14,1,0.12,116,"0.11100","1.00000","0.11100","A0A026W073",""
"GO:0043169","cation binding",402,6,3.36,117,"0.11812","1.00000","0.38843","A0A026VVE4;A0A026VVU9;A0A026W0P7;A0A026WG66;A0A026WKW2;A0A026WSS1",";;;;;"
"GO:0004558","alpha-1,4-glucosidase activity",15,1,0.13,118,"0.11845","1.00000","0.11845","A0A026WKS8",""
"GO:0005109","frizzled binding",15,1,0.13,36,"0.11845","0.11845","0.11845","A0A026X3S9",""
"GO:0015926","glucosidase activity",15,1,0.13,119,"0.11845","1.00000","0.11845","A0A026WKS8",""
"GO:0032450","maltose alpha-glucosidase activity",15,1,0.13,37,"0.11845","0.11845","0.11845","A0A026WKS8",""
"GO:0043178","alcohol binding",15,1,0.13,38,"0.11845","0.11845","0.11845","A0A026W5F4",""
"GO:0090599","alpha-glucosidase activity",15,1,0.13,120,"0.11845","1.00000","0.11845","A0A026WKS8",""
"GO:0005496","steroid binding",16,1,0.13,121,"0.12584","1.00000","0.12584","A0A026W6F8",""
"GO:0032934","sterol binding",16,1,0.13,39,"0.12584","0.12584","0.12584","A0A026W6F8",""
"GO:0016791","phosphatase activity",150,3,1.25,122,"0.13007","1.00000","0.69111","A0A026W4J5;A0A026WGA6;A0A026WSH9",";;"
"GO:0005126","cytokine receptor binding",17,1,0.14,40,"0.13316","0.13316","0.13316","A0A026W4U7",""
"GO:0005198","structural molecule activity",420,6,3.51,67,"0.13736","0.95169","0.95093","A0A026VWV8;A0A026WDK1;A0A026WEW7;A0A026WF43;A0A026WT17;A0A026X0F2",";;;;;"
"GO:0008289","lipid binding",155,3,1.3,123,"0.13959","1.00000","0.70845","A0A026W5F4;A0A026W6F8;A0A026W798",";;"
"GO:0005102","signaling receptor binding",240,4,2.01,63,"0.14039","0.79594","0.14039","A0A026W4U7;A0A026W5E2;A0A026W5F4;A0A026X3S9",";;;"
"GO:0019842","vitamin binding",18,1,0.15,41,"0.14043","0.14043","0.14043","A0A026W5F4",""
"GO:0036094","small molecule binding",159,3,1.33,60,"0.14737","0.57931","0.14737","A0A026W5F4;A0A026WM97;A0A026WMB6",";;"
"GO:0020037","heme binding",21,1,0.18,42,"0.16187","0.16187","0.16187","A0A026W5F4",""
"GO:0046906","tetrapyrrole binding",21,1,0.18,124,"0.16187","1.00000","0.16187","A0A026W5F4",""
"GO:0050660","flavin adenine dinucleotide binding",21,1,0.18,43,"0.16187","0.16187","0.16187","A0A026WM97",""
"GO:0005507","copper ion binding",22,1,0.18,44,"0.16889","0.16889","0.16889","A0A026WG66",""
"GO:0008010","structural constituent of chitin-based l...",22,1,0.18,125,"0.16889","1.00000","0.16889","A0A026WT17",""
"GO:0016667","oxidoreductase activity, acting on a sul...",22,1,0.18,126,"0.16889","1.00000","0.16889","A0A026W073",""
"GO:0046914","transition metal ion binding",261,4,2.18,127,"0.17365","1.00000","0.60273","A0A026VVE4;A0A026VVU9;A0A026W0P7;A0A026WG66",";;;"
"GO:0042578","phosphoric ester hydrolase activity",176,3,1.47,128,"0.18193","1.00000","0.75113","A0A026W4J5;A0A026WGA6;A0A026WSH9",";;"
"GO:0016903","oxidoreductase activity, acting on the a...",24,1,0.2,45,"0.18278","0.18278","0.18278","A0A026WM97",""
"GO:0008201","heparin binding",25,1,0.21,46,"0.18963","0.18963","0.18963","A0A026W4U7",""
"GO:0016853","isomerase activity",97,2,0.81,129,"0.19445","1.00000","0.19445","A0A026VU23;A0A026X2U9",";"
"GO:0003755","peptidyl-prolyl cis-trans isomerase acti...",27,1,0.23,47,"0.20317","0.20317","0.20317","A0A026VU23",""
"GO:0000030","mannosyltransferase activity",28,1,0.23,48,"0.20986","0.20986","0.20986","A0A026WG72",""
"GO:0140096","catalytic activity, acting on a protein",1113,12,9.31,130,"0.21228","1.00000","0.95830","A0A026VU23;A0A026VWE0;A0A026W0P7;A0A026W1C7;A0A026WEB2;A0A026WFP0;A0A026WH69;A0A026WI06;A0A026WMA6;A0A026WPF7;A0A026WSC7;A0A026WSE1",";;;;;;;;;;;"
"GO:0004197","cysteine-type endopeptidase activity",29,1,0.24,49,"0.21649","0.21649","0.21649","A0A026WSE1",""
"GO:0016859","cis-trans isomerase activity",30,1,0.25,131,"0.22307","1.00000","0.22307","A0A026VU23",""
"GO:0016491","oxidoreductase activity",389,5,3.25,65,"0.22458","0.92478","0.22458","A0A026W073;A0A026WDB2;A0A026WDK1;A0A026WG66;A0A026WM97",";;;;"
"GO:0042803","protein homodimerization activity",198,3,1.66,50,"0.22949","0.22949","0.22949","A0A026VU35;A0A026WG66;A0A026WTW5",";;CREG"
"GO:0004222","metalloendopeptidase activity",31,1,0.26,51,"0.22959","0.22959","0.22959","A0A026W1C7",""
"GO:0005509","calcium ion binding",115,2,0.96,52,"0.24993","0.24993","0.24993","A0A026WKW2;A0A026WSS1",";"
"GO:0004497","monooxygenase activity",35,1,0.29,132,"0.25515","1.00000","0.25515","A0A026WDK1",""
"GO:0016705","oxidoreductase activity, acting on paire...",39,1,0.33,133,"0.27987","1.00000","0.27987","A0A026WDK1",""
"GO:0042802","identical protein binding",225,3,1.88,58,"0.29060","0.53903","0.29060","A0A026VU35;A0A026WG66;A0A026WTW5",";;CREG"
"GO:0001664","G protein-coupled receptor binding",45,1,0.38,134,"0.31545","1.00000","0.31545","A0A026X3S9",""
"GO:0016616","oxidoreductase activity, acting on the C...",45,1,0.38,135,"0.31545","1.00000","0.31545","A0A026WDB2",""
"GO:1901681","sulfur compound binding",46,1,0.38,136,"0.32121","1.00000","0.32121","A0A026W4U7",""
"GO:0005319","lipid transporter activity",49,1,0.41,53,"0.33820","0.33820","0.33820","A0A026W5F4",""
"GO:0016614","oxidoreductase activity, acting on CH-OH...",50,1,0.42,137,"0.34377","1.00000","0.34377","A0A026WDB2",""
"GO:0016651","oxidoreductase activity, acting on NAD(P...",52,1,0.43,138,"0.35477","1.00000","0.35477","A0A026W073",""
"GO:0042277","peptide binding",57,1,0.48,54,"0.38149","0.38149","0.38149","A0A026W0P7",""
"GO:0052689","carboxylic ester hydrolase activity",58,1,0.49,55,"0.38670","0.38670","0.38670","A0A026WSS1",""
"GO:0016788","hydrolase activity, acting on ester bond...",383,4,3.2,139,"0.39937","1.00000","0.81649","A0A026W4J5;A0A026WGA6;A0A026WSH9;A0A026WSS1",";;;"
"GO:0033218","amide binding",73,1,0.61,140,"0.45988","1.00000","0.45988","A0A026W0P7",""
"GO:0043168","anion binding",305,3,2.55,141,"0.47250","1.00000","0.47250","A0A026W4U7;A0A026W5F4;A0A026WM97",";;"
"GO:0046983","protein dimerization activity",312,3,2.61,142,"0.48766","1.00000","0.48766","A0A026VU35;A0A026WG66;A0A026WTW5",";;CREG"
"GO:0008270","zinc ion binding",217,2,1.81,59,"0.54600","0.54600","0.54600","A0A026W0P7;A0A026WG66",";"
"GO:0016758","transferase activity, transferring hexos...",102,1,0.85,143,"0.57783","1.00000","0.57783","A0A026WG72",""
"GO:0016757","transferase activity, transferring glyco...",115,1,0.96,144,"0.62209","1.00000","0.62209","A0A026WG72",""
"GO:0008234","cysteine-type peptidase activity",116,1,0.97,145,"0.62530","1.00000","0.62530","A0A026WSE1",""
"GO:0000166","nucleotide binding",118,1,0.99,146,"0.63164","1.00000","0.63164","A0A026WM97",""
"GO:1901265","nucleoside phosphate binding",118,1,0.99,147,"0.63164","1.00000","0.63164","A0A026WM97",""
"GO:0008017","microtubule binding",132,1,1.1,61,"0.67314","0.67314","0.67314","A0A026W5F4",""
"GO:0015631","tubulin binding",141,1,1.18,148,"0.69736","1.00000","0.69736","A0A026W5F4",""
"GO:0030234","enzyme regulator activity",288,2,2.41,149,"0.70056","1.00000","1.00000","A0A026VZ76;A0A026WI68",";"
"GO:0008134","transcription factor binding",207,1,1.73,64,"0.82839","0.82839","0.82839","A0A026VU35","CREG"
"GO:0038023","signaling receptor activity",299,1,2.5,150,"0.92285","1.00000","0.92285","A0A026W798",""
"GO:0060089","molecular transducer activity",303,1,2.53,151,"0.92550","1.00000","0.92550","A0A026W798",""
"GO:0008092","cytoskeletal protein binding",422,1,3.53,152,"0.97393","1.00000","0.97393","A0A026W5F4",""
"GO:0005488","binding",4204,27,35.15,72,"0.98599","1.00000","0.99999","A0A026VU35;A0A026VVE4;A0A026VVU9;A0A026VWQ3;A0A026VZR5;A0A026W0P7;A0A026W2Z6;A0A026W4U7;A0A026W5E2;A0A026W5F4;A0A026W6F8;A0A026W798;A0A026WDF3;A0A026WG30;A0A026WG66;A0A026WID6;A0A026WKW2;A0A026WM97;A0A026WMB6;A0A026WSS1;A0A026WT37;A0A026WT83;A0A026WTW5;A0A026WUA2;A0A026WYV1;A0A026X3S9;A0A026X5F3",";;;;serp;;;;;;;;;;;;;;;;;;;;CREG;;"
"GO:0005215","transporter activity",719,2,6.01,69,"0.98649","0.99725","0.98649","A0A026W5F4;A0A026WTK0",";"
"GO:0022857","transmembrane transporter activity",613,1,5.13,68,"0.99534","0.99534","0.99534","A0A026WTK0",""
"GO:0098772","molecular function regulator",1023,2,8.55,153,"0.99893","1.00000","1.00000","A0A026VZ76;A0A026WI68",";"
"GO:0097159","organic cyclic compound binding",1466,3,12.26,154,"0.99985","1.00000","0.99985","A0A026W5F4;A0A026W6F8;A0A026WM97",";;"
"GO:0005515","protein binding",2687,10,22.47,71,"0.99987","1.00000","0.99987","A0A026VU35;A0A026VZR5;A0A026W2Z6;A0A026W4U7;A0A026W5E2;A0A026W5F4;A0A026WG66;A0A026WTW5;A0A026X3S9;A0A026X5F3",";;;;;;;;CREG;"
"GO:1901363","heterocyclic compound binding",1456,2,12.18,155,"0.99998","1.00000","0.99998","A0A026W5F4;A0A026WM97",";"
"GO:0016740","transferase activity",1198,1,10.02,156,"0.99998","1.00000","0.99998","A0A026WG72",""
"GO:0003674","molecular_function",7534,63,63,157,"1.00000","1.00000","1.00000","A0A026VU23;A0A026VU35;A0A026VVE4;A0A026VVU9;A0A026VWE0;A0A026VWQ3;A0A026VWV8;A0A026VXZ2;A0A026VZ76;A0A026VZR5;A0A026W073;A0A026W0P7;A0A026W0Q1;A0A026W1C7;A0A026W2Z6;A0A026W4J5;A0A026W4U7;A0A026W5E2;A0A026W5F4;A0A026W656;A0A026W6F6;A0A026W6F8;A0A026W798;A0A026WDB2;A0A026WDF3;A0A026WDK1;A0A026WEB2;A0A026WEW7;A0A026WF43;A0A026WFP0;A0A026WG30;A0A026WG66;A0A026WG72;A0A026WGA6;A0A026WH69;A0A026WI06;A0A026WI68;A0A026WID6;A0A026WIQ8;A0A026WKS8;A0A026WKW2;A0A026WL55;A0A026WM97;A0A026WMA6;A0A026WMB6;A0A026WPF7;A0A026WPJ5;A0A026WSC7;A0A026WSE1;A0A026WSH9;A0A026WSS1;A0A026WT17;A0A026WT37;A0A026WT83;A0A026WTK0;A0A026WTW5;A0A026WUA2;A0A026WYH3;A0A026WYV1;A0A026X0F2;A0A026X2U9;A0A026X3S9;A0A026X5F3",";;;;;;;;;serp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CREG;;;;;;;"
"GO:0000014","single-stranded DNA endodeoxyribonucleas...",3,0,0.03,158,"1.00000","1.00000","1.00000","",""
"GO:0000033","alpha-1,3-mannosyltransferase activity",3,0,0.03,159,"1.00000","1.00000","1.00000","",""
"GO:0000049","tRNA binding",24,0,0.2,160,"1.00000","1.00000","1.00000","",""
"GO:0000062","fatty-acyl-CoA binding",4,0,0.03,161,"1.00000","1.00000","1.00000","",""
"GO:0000095","S-adenosyl-L-methionine transmembrane tr...",3,0,0.03,162,"1.00000","1.00000","1.00000","",""
"GO:0000104","succinate dehydrogenase activity",5,0,0.04,163,"1.00000","1.00000","1.00000","",""
"GO:0000146","microfilament motor activity",3,0,0.03,164,"1.00000","1.00000","1.00000","",""
"GO:0000149","SNARE binding",59,0,0.49,165,"1.00000","1.00000","1.00000","",""
"GO:0000150","recombinase activity",4,0,0.03,166,"1.00000","1.00000","1.00000","",""
"GO:0000175","3'-5'-exoribonuclease activity",20,0,0.17,167,"1.00000","1.00000","1.00000","",""
"GO:0000179","rRNA (adenine-N6,N6-)-dimethyltransferas...",3,0,0.03,168,"1.00000","1.00000","1.00000","",""
"GO:0000182","rDNA binding",3,0,0.03,169,"1.00000","1.00000","1.00000","",""
"GO:0000217","DNA secondary structure binding",16,0,0.13,170,"1.00000","1.00000","1.00000","",""
"GO:0000268","peroxisome targeting sequence binding",4,0,0.03,171,"1.00000","1.00000","1.00000","",""
"GO:0000287","magnesium ion binding",13,0,0.11,172,"1.00000","1.00000","1.00000","",""
"GO:0000295","adenine nucleotide transmembrane transpo...",8,0,0.07,173,"1.00000","1.00000","1.00000","",""
"GO:0000339","RNA cap binding",10,0,0.08,174,"1.00000","1.00000","1.00000","",""
"GO:0000340","RNA 7-methylguanosine cap binding",7,0,0.06,175,"1.00000","1.00000","1.00000","",""
"GO:0000400","four-way junction DNA binding",11,0,0.09,176,"1.00000","1.00000","1.00000","",""
"GO:0000403","Y-form DNA binding",5,0,0.04,177,"1.00000","1.00000","1.00000","",""
"GO:0000702","oxidized base lesion DNA N-glycosylase a...",3,0,0.03,178,"1.00000","1.00000","1.00000","",""
"GO:0000900","translation repressor activity, mRNA reg...",17,0,0.14,179,"1.00000","1.00000","1.00000","",""
"GO:0000976","transcription regulatory region sequence...",239,0,2,180,"1.00000","1.00000","1.00000","",""
"GO:0000977","RNA polymerase II transcription regulato...",186,0,1.56,181,"1.00000","1.00000","1.00000","",""
"GO:0000978","RNA polymerase II cis-regulatory region ...",51,0,0.43,182,"1.00000","1.00000","1.00000","",""
"GO:0000979","RNA polymerase II core promoter sequence...",3,0,0.03,183,"1.00000","1.00000","1.00000","",""
